id,lat,lon,type,state,schools1km,hosp1km,pop1km
BKP-1,26.133092,68.565789,FCBK,Sindh,0,0,1274
BKP-2,26.131069,68.559271,FCBK,Sindh,0,0,1170
BKP-3,26.139061,68.564912,FCBK,Sindh,0,0,794
BKP-4,26.132216,68.572884,FCBK,Sindh,0,0,752
BKP-5,26.129035,68.576938,FCBK,Sindh,0,0,465
BKP-6,26.125522,68.580051,FCBK,Sindh,0,0,672
BKP-7,26.132307,68.580214,FCBK,Sindh,0,0,1013
BKP-8,26.132829,68.585592,FCBK,Sindh,0,1,1013
BKP-9,26.133931,68.598711,FCBK,Sindh,0,1,1116
BKP-10,26.132541,68.59972,FCBK,Sindh,0,1,1116
BKP-11,26.204958,68.640557,FCBK,Sindh,0,0,1277
BKP-12,26.105802,68.196691,FCBK,Sindh,0,0,26
BKP-13,25.436032,68.683099,FCBK,Sindh,0,0,1508
BKP-14,26.698118,67.922695,FCBK,Sindh,0,0,234
BKP-15,27.322849,68.434788,FCBK,Sindh,0,0,780
BKP-16,27.323152,68.438804,FCBK,Sindh,0,0,1847
BKP-17,27.326504,68.441561,FCBK,Sindh,0,0,1679
BKP-18,27.434428,68.585713,FCBK,Sindh,0,0,1188
BKP-19,25.433841,68.586801,FCBK,Sindh,0,0,1262
BKP-20,27.60832,68.21274,FCBK,Sindh,0,0,813
BKP-21,27.606733,68.213601,FCBK,Sindh,0,0,396
BKP-22,25.30213,68.67964,FCBK,Sindh,0,0,1341
BKP-23,25.413639,68.691831,FCBK,Sindh,0,0,1341
BKP-24,25.417228,68.694191,FCBK,Sindh,0,0,1341
BKP-25,25.419597,68.68622,FCBK,Sindh,0,0,1556
BKP-26,25.411536,68.69369,FCBK,Sindh,0,0,451
BKP-27,25.413489,68.702028,FCBK,Sindh,0,0,1152
BKP-28,25.415202,68.700161,FCBK,Sindh,0,0,2020
BKP-29,25.426922,68.705397,FCBK,Sindh,0,0,2292
BKP-30,25.429608,68.704971,FCBK,Sindh,0,0,2895
BKP-31,25.427158,68.707469,FCBK,Sindh,0,0,1086
BKP-32,25.426354,68.706228,FCBK,Sindh,0,0,1086
BKP-33,25.425937,68.713397,FCBK,Sindh,0,0,703
BKP-34,25.424665,68.715034,FCBK,Sindh,0,0,221
BKP-35,25.433852,68.710756,FCBK,Sindh,0,0,2993
BKP-36,25.435499,68.715009,FCBK,Sindh,2,0,2611
BKP-37,25.439759,68.717307,FCBK,Sindh,2,0,6764
BKP-38,25.440775,68.716516,FCBK,Sindh,2,0,6764
BKP-39,25.441033,68.718065,FCBK,Sindh,2,0,6764
BKP-40,25.442576,68.718899,FCBK,Sindh,4,0,6764
BKP-41,25.443409,68.719247,FCBK,Sindh,4,0,6764
BKP-42,25.446156,68.722737,FCBK,Sindh,4,1,18327
BKP-43,25.417024,68.732657,FCBK,Sindh,0,0,943
BKP-44,25.408908,68.704431,FCBK,Sindh,0,0,1137
BKP-45,25.406766,68.704242,FCBK,Sindh,0,0,904
BKP-46,25.403576,68.690243,FCBK,Sindh,0,0,200
BKP-47,25.405516,68.691456,FCBK,Sindh,0,0,465
BKP-48,25.303927,68.672671,FCBK,Sindh,0,0,1847
BKP-49,25.305274,68.675367,FCBK,Sindh,0,0,1948
BKP-50,25.302163,68.679632,FCBK,Sindh,0,0,1814
BKP-51,25.90146,68.667181,FCBK,Sindh,0,0,842
BKP-52,28.359471,68.316029,FCBK,Balochistan,0,0,531
BKP-53,26.655614,67.964459,FCBK,Sindh,0,0,1067
BKP-54,26.655516,67.970299,FCBK,Sindh,0,0,628
BKP-55,26.687882,67.99739,FCBK,Sindh,0,0,4328
BKP-56,26.749548,67.698952,FCBK,Sindh,0,0,1152
BKP-57,25.784166,68.439653,FCBK,Sindh,0,0,573
BKP-58,25.771735,68.445005,FCBK,Sindh,0,0,1283
BKP-59,25.779583,68.459437,FCBK,Sindh,0,0,1305
BKP-60,25.78894,68.457194,FCBK,Sindh,0,0,1362
BKP-61,25.780369,68.451698,FCBK,Sindh,0,0,1368
BKP-62,25.406256,68.713422,FCBK,Sindh,0,0,2698
BKP-63,25.405088,68.716456,FCBK,Sindh,0,0,2655
BKP-64,25.407827,68.718912,FCBK,Sindh,0,0,2655
BKP-65,25.39289,68.717241,FCBK,Sindh,0,0,807
BKP-66,25.449043,68.487502,FCBK,Sindh,0,0,1266
BKP-67,26.173123,68.558052,FCBK,Sindh,0,0,123
BKP-68,26.172972,68.556894,FCBK,Sindh,0,0,123
BKP-69,25.44244,68.699292,FCBK,Sindh,0,0,2256
BKP-71,25.68464,68.673258,FCBK,Sindh,0,0,1834
BKP-74,26.139482,68.610795,FCBK,Sindh,0,0,503
BKP-75,26.342036,68.124205,FCBK,Sindh,0,0,3089
BKP-76,26.342234,68.125746,FCBK,Sindh,0,0,3089
BKP-77,26.331598,68.117128,FCBK,Sindh,0,0,2003
BKP-80,26.276938,68.13259,FCBK,Sindh,0,0,1271
BKP-81,26.2798,68.136873,FCBK,Sindh,0,0,3707
BKP-82,26.277623,68.12504,FCBK,Sindh,0,0,3111
BKP-83,26.273638,68.151244,FCBK,Sindh,0,0,3252
BKP-84,25.877221,68.459884,FCBK,Sindh,0,0,761
BKP-85,25.860613,68.474631,FCBK,Sindh,0,0,395
BKP-86,25.861948,68.474501,FCBK,Sindh,0,0,395
BKP-87,28.164452,68.044781,FCBK,Balochistan,0,0,7835
BKP-88,26.130395,68.174093,FCBK,Sindh,0,0,392
BKP-89,25.965459,68.578772,FCBK,Sindh,0,0,1423
BKP-90,26.373167,68.415529,FCBK,Sindh,0,0,152
BKP-91,25.93719,68.637534,FCBK,Sindh,0,0,4084
BKP-92,26.221685,68.535003,FCBK,Sindh,0,0,110
BKP-93,26.719772,67.692739,FCBK,Sindh,0,0,537
BKP-94,25.952953,68.644989,FCBK,Sindh,0,0,396
BKP-95,26.143417,68.543963,FCBK,Sindh,0,0,483
BKP-96,26.144966,68.541775,FCBK,Sindh,0,0,483
BKP-97,25.942612,68.618871,FCBK,Sindh,0,0,689
BKP-98,25.945512,68.61678,FCBK,Sindh,0,0,689
BKP-99,26.138286,68.191266,FCBK,Sindh,0,0,1338
BKP-100,26.171931,68.242567,FCBK,Sindh,0,0,590
BKP-101,26.279253,68.476967,FCBK,Sindh,0,0,450
BKP-102,26.11348,68.487002,FCBK,Sindh,0,0,1157
BKP-103,26.162349,68.60797,FCBK,Sindh,0,0,97
BKP-104,25.954855,68.620489,FCBK,Sindh,0,0,461
BKP-105,25.840951,68.681325,FCBK,Sindh,0,0,540
BKP-106,26.135028,68.587228,FCBK,Sindh,0,1,1679
BKP-107,25.988936,68.389878,FCBK,Sindh,0,0,334
BKP-108,26.13492,68.583567,FCBK,Sindh,0,1,1013
BKP-109,27.315869,68.420264,FCBK,Sindh,0,0,2750
BKP-110,26.656343,67.964563,FCBK,Sindh,0,0,1067
BKP-111,26.660418,67.963854,FCBK,Sindh,0,0,1067
BKP-112,26.137967,68.599134,FCBK,Sindh,0,1,1058
BKP-113,26.133253,68.567039,FCBK,Sindh,0,0,1274
BKP-114,26.138418,68.253774,FCBK,Sindh,0,0,4674
BKP-115,25.95064,68.906889,FCBK,Sindh,0,0,255
BKP-116,26.140384,68.162101,FCBK,Sindh,0,0,675
BKP-117,26.707211,68.006108,FCBK,Sindh,0,0,1353
BKP-118,26.145173,68.595753,FCBK,Sindh,0,0,962
BKP-119,26.848285,68.060569,FCBK,Sindh,0,0,1147
BKP-120,26.847196,68.061429,FCBK,Sindh,0,0,1313
BKP-121,26.131747,68.597645,FCBK,Sindh,0,1,1116
BKP-122,25.976294,68.874525,FCBK,Sindh,0,0,826
BKP-123,25.984157,68.402773,FCBK,Sindh,0,0,576
BKP-124,25.966233,68.589238,FCBK,Sindh,0,0,17
BKP-125,26.864001,68.047061,FCBK,Sindh,0,0,4224
BKP-126,27.304039,68.412793,FCBK,Sindh,0,0,5855
BKP-127,25.947442,68.642248,FCBK,Sindh,0,0,234
BKP-128,25.946264,68.642758,FCBK,Sindh,0,0,234
BKP-129,26.12716,68.576816,FCBK,Sindh,0,0,589
BKP-130,26.130714,68.576112,FCBK,Sindh,0,0,752
BKP-131,26.128784,68.579036,FCBK,Sindh,0,0,707
BKP-132,26.13108,68.578461,FCBK,Sindh,0,0,585
BKP-133,26.106561,68.19813,FCBK,Sindh,0,0,32
BKP-134,26.909472,67.712731,FCBK,Sindh,0,0,1613
BKP-135,26.121334,68.234257,FCBK,Sindh,0,0,1165
BKP-136,26.111486,68.487889,FCBK,Sindh,0,0,1336
BKP-137,26.098211,68.291196,FCBK,Sindh,0,0,495
BKP-138,26.131442,68.564539,FCBK,Sindh,0,0,1274
BKP-139,26.127892,68.56254,FCBK,Sindh,0,0,1215
BKP-140,26.130879,68.560459,FCBK,Sindh,0,0,1170
BKP-141,26.130794,68.562798,FCBK,Sindh,0,0,1163
BKP-142,26.130132,68.601574,FCBK,Sindh,0,0,1116
BKP-143,26.71353,67.818488,FCBK,Sindh,0,0,423
BKP-144,25.984265,68.387938,FCBK,Sindh,0,0,444
BKP-145,26.133225,68.201732,FCBK,Sindh,0,0,516
BKP-146,25.93925,68.636174,FCBK,Sindh,0,0,1447
BKP-147,26.16678,68.411487,FCBK,Sindh,0,0,865
