uid,plant_name,city,country,region,sub_region,latitude,longitude,status,plant_type,capacity_p,capacity_1,capacity_n,capacity_s,fuel,certificat,owner_perm,owner_name,owner_lei,owner_sour,parent_per,parent_nam
GPPMIND0021,"Sakar International Pvt Ltd, New Delhi Factory",DELHI,India,Asia,South Asia,28.795019000000000,77.044495999999995,Operating,Paper,N/A,No information, ,No information,No information,PEFC/01-31-395,No information,Sakar International Pvt Ltd,No information, ,No information,No information
GPPMIND0022,Shree Acids & Chemicals Ltd,DELHI,India,Asia,South Asia,28.712518700000000,77.173094399999997,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Shree Acids and Chemicals Ltd,No information, ,No information,No information
GPPMIND0023,Shree Krishna Paper Mills & Ind. Ltd,DELHI,India,Asia,South Asia,28.644299799999999,77.244240500000004,Operating,Paper and packaging,N/A,No information, , ,No information,No information,No information,Shree Krishna Paper Mills & Industries Ltd,894500JDY58CY8RUYA13,http://www.skpmil.com/,No information,Shree Krishna Paper Mills & Industries Ltd
GPPMIND0024,SPMCIL Security Printing of India Limited,DELHI,India,Asia,South Asia,28.625687400000000,77.219880099999997,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,SPMCIL Security Printing of India Limited,No information,http://www.spmcil.com/,No information,No information
GPPMIND0025,"Gateway Speciality Papers Limited, Kundli Mill",KUNDLI,India,Asia,South Asia,28.807261400000002,77.140421099999998,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-32-14,No information,Gateway Speciality Papers Limited,No information, ,No information,No information
GPPMIND0026,"Mukerian Papers Ltd, Mukerian Mill",MUKERIAN,India,Asia,South Asia,31.928075700000001,75.628810099999995,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Mukerian Papers Ltd,No information, ,No information,No information
GPPMIND0027,Nikita Papers Limited,SHAMLI,India,Asia,South Asia,28.746724300000000,77.151755899999998,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-32-26,No information,Nikita Papers Ltd,894500MAIDL75QBQTR06, ,No information,Nikita Papers Ltd
GPPMIND0034,"Shree Bhawani Paper Mills Ltd, Rae Bareli Mill",RAE BARELI,India,Asia,South Asia,26.221216500000001,81.258952899999997,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Shree Bhawani Paper Mills Ltd,No information, ,No information,Shree Ajit Pulp and Paper Ltd
GPPMIND0041,Khanna Paper Mills,AMBALA CANTT,India,Asia,South Asia,30.343621200000001,76.871015099999994,Operating,Paper,N/A,No information, ,No information,No information,No information,4298176376,Khanna Paper Mills Ltd,335800K7TEEQWQKMI146, ,No information,Khanna Paper Mills Ltd
GPPMIND0042,"BILT Ballarpur Industries Ltd, Unit Shreegopal",YAMUNANAGAR,India,Asia,South Asia,30.125391300000000,77.286179099999998,Operating,Pulp and paper,"67,000","75,000","375,000 is full capacity of 5 units",https://disclosures.ifc.org/project-detail/SPI/20798/ballarpur-industries-limited,No information,FSC,4295873630,Ballarpur Industries Ltd,3358004SU97ZD4RPVH82,https://bilt.com/,No information,Ballarpur Industries Ltd
GPPMIND0050,Shree Jagdambe Paper Mills Ltd,SIRSA,India,Asia,South Asia,29.513932300000000,75.036382700000004,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,SHREE JAGDAMBE PAPER MILLS LTD,984500D7F2EYN6648B15, ,No information,SHREE JAGDAMBE PAPER MILLS LTD
GPPMIND0093,"Shreyans Industries Limited, Shreyans Papers",AHMEDGARH,India,Asia,South Asia,30.679561199999998,75.824342700000003,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-31-04,No information,Shreyans Industries Limited,No information, ,No information,No information
GPPMIND0094,"Shree Krishna Paper Mills & Ind. Ltd, Bansal Paper Mills",BAHADURGARH,India,Asia,South Asia,30.667842000000000,76.844194000000002,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Shree Krishna Paper Mills & Industries Ltd,894500JDY58CY8RUYA13, ,No information,Shree Krishna Paper Mills & Industries Ltd
GPPMIND0095,"Rishab Paper Mills Ltd, Banah Mill",BANAH,India,Asia,South Asia,31.016590200000000,76.386879699999994,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Rishab Paper Mills Ltd,No information, ,No information,No information
GPPMIND0096,"Shreyans Industries Limited, Shree Rishabh Papers",BANAH,India,Asia,South Asia,31.030237000000000,76.462092799999994,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-31-04,No information,Shreyans Industries Limited,No information, ,No information,No information
GPPMIND0097,"Abhishek Industries Limited, Trident Group",LUDHIANA,India,Asia,South Asia,30.913622499999999,75.817078600000002,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Abhishek Industries,3358001RUOQXB94VU602,http://www.tridentindia.com/,No information,Abhishek Industries
GPPMIND0098,Mukerian Papers Ltd,LUDHIANA,India,Asia,South Asia,30.875488799999999,75.888815199999996,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Mukerian Papers Ltd,No information, ,No information,No information
GPPMIND0099,Shreyans Industries Limited,LUDHIANA,India,Asia,South Asia,30.882045399999999,75.949502100000004,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-31-04,No information,Shreyans Industries Ltd,335800VIASF2EDOPG824,http://www.shreyansgroup.com/,No information,Shreyans Industries Ltd
GPPMIND0100,RP Paper Impex Pvt. Ltd,SAHIBZADA AJIT SINGH NAGAR,India,Asia,South Asia,30.585518499999999,76.874978700000000,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-31-17,No information,RP Impex,335800K7DO8F4D43UO62,http://www.rppaperimpex.com/,No information,RP Impex
GPPMIND0123,Bharat Strawboard & Paper Mills (Private) Ltd,ALLAHABAD,India,Asia,South Asia,25.392090499999998,81.867189600000003,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Bharat Paper Mills Ltd,No information, ,No information,No information
GPPMIND0124,Chandpur Enterprises Ltd,BIJNOR,India,Asia,South Asia,29.130931600000000,78.307016200000007,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-31-15,No information,Chandpur Enterprises Ltd,894500E5NBVF1NRJAS25, ,No information,Chandpur Enterprises Ltd
