GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,NAME_3,TYPE_3,ENGTYPE_3
IND,India,IND.5_1,Bihar,IND.5.1_1,Araria,Araria,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.2_1,Arwal,Jahanabad,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.3_1,Aurangabad,Aurangabad,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.4_1,Banka,Banka,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.5_1,Begusarai,Begusarai,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.6_1,Bhagalpur,Bhagalpur,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.6_1,Bhagalpur,Naugachhia,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.7_1,Bhojpur,Ara,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.8_1,Buxar,Buxar,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.9_1,Darbhanga,Benipur,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.9_1,Darbhanga,Darbhanga,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.10_1,Gaya,Gaya,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.11_1,Gopalganj,Gopalganj,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.12_1,Jamui,Jamui,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.13_1,Jehanabad,Jahanabad,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.14_1,Kaimur,Bhabua,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.15_1,Katihar,Katihar,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.16_1,Khagaria,Khagaria,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.17_1,Kishanganj,Kishanganj,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.18_1,Lakhisarai,Lakhisarai,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.19_1,Madhepura,Kishanganj,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.19_1,Madhepura,Madhepura,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.20_1,Madhubani,Benipatti,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.20_1,Madhubani,Jhanjharpur,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.20_1,Madhubani,Madhubani,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.21_1,Munger,Munger,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.22_1,Muzaffarpur,Muzaffarpur,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.22_1,Muzaffarpur,n.a. ( 542),Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.23_1,Nalanda,Bihar Sharif,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.23_1,Nalanda,Hilsa,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.24_1,Nawada,Nawada,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.25_1,Pashchim Champaran,Bettiah,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.26_1,Patna,Barh,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.26_1,Patna,Danapur,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.26_1,Patna,Masaurhi,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.26_1,Patna,n.a. ( 652),Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.27_1,Purba Champaran,Dhaka,Taluk,Taluk
IND,India,IND.5_1,Bihar,IND.5.27_1,Purba Champaran,Motihari,Taluk,Taluk
