latitude,longitude,type,brickid
24.1174431359375,90.16411641,fcbk,BKB-1
22.856526865,89.620593065,fcbk,BKB-2
22.9411127434375,90.528699455,fcbk,BKB-3
22.94419756375,90.52760833,fcbk,BKB-4
22.9445497121875,90.52516808,fcbk,BKB-5
22.58923909375,89.44626726,fcbk,BKB-6
22.3213783396875,89.107382475,fcbk,BKB-7
23.8124775684375,90.401832995,fcbk,BKB-8
22.8495157784375,89.56422947,fcbk,BKB-9
22.4049103378125,89.584721905,fcbk,BKB-10
23.223221770625,90.052877015,fcbk,BKB-11
22.508619648125,90.37676082,fcbk,BKB-12
22.757713554375,89.09947018,fcbk,BKB-13
22.7569012653125,89.100593555,fcbk,BKB-14
24.0107274984375,88.9402824,fcbk,BKB-15
22.9402725021875,90.10053008,fcbk,BKB-16
22.6665344175,90.291230335,fcbk,BKB-17
22.6677880659375,90.295089585,fcbk,BKB-18
23.0702839021875,89.511508615,fcbk,BKB-19
23.769923714375,89.072145785,fcbk,BKB-20
22.9222172384375,89.999041015,fcbk,BKB-21
23.2928620475,88.807314255,fcbk,BKB-22
22.833723989375,90.2667149,fcbk,BKB-23
23.0533269075,89.672904195,fcbk,BKB-24
23.055242595,89.673108445,fcbk,BKB-25
22.720558335,90.39261956,fcbk,BKB-26
23.4054149665625,89.58059452,fcbk,BKB-27
22.648975163125,90.17466595,fcbk,BKB-28
22.6490455928125,90.174639075,fcbk,BKB-29
22.649125413125,90.174628325,fcbk,BKB-30
22.660880970625,90.295234345,fcbk,BKB-31
23.687693283125,88.80423666,fcbk,BKB-32
24.151407918125,89.71341335,fcbk,BKB-33
22.2803155559375,89.055316025,fcbk,BKB-34
22.6530657634375,90.343656555,fcbk,BKB-35
22.5768584715625,90.47496807,fcbk,BKB-36
23.1114343296875,90.435782875,fcbk,BKB-37
22.9057696334375,88.939289105,fcbk,BKB-38
22.65086613125,90.207593925,fcbk,BKB-39
22.652509490625,90.206755425,fcbk,BKB-40
24.80430641125,88.32351833,fcbk,BKB-41
23.1846647925,89.365419475,fcbk,BKB-42
22.587637305625,89.61775676,fcbk,BKB-43
22.502996848125,90.07471911,fcbk,BKB-44
22.642123863125,90.223742985,fcbk,BKB-45
23.3992658253125,90.24312684,fcbk,BKB-46
22.650426819375,90.388519475,fcbk,BKB-47
22.652455194375,90.3885786,fcbk,BKB-48
22.5320627334375,90.47593297,fcbk,BKB-49
22.5321002959375,90.47649197,fcbk,BKB-50
24.6887651303125,88.77463083,fcbk,BKB-51
23.724637235,88.59952527,fcbk,BKB-52
22.826051185625,90.293392195,fcbk,BKB-53
22.825450185625,90.294735945,fcbk,BKB-54
22.5599856440625,89.23836055,fcbk,BKB-55
23.0827837021875,89.982867225,fcbk,BKB-56
22.4996341509375,90.04606,fcbk,BKB-57
23.0899183365625,89.76750631,fcbk,BKB-58
22.4559694665625,89.276966985,fcbk,BKB-59
22.6047770121875,90.612265825,fcbk,BKB-60
22.602481004375,90.6112177,fcbk,BKB-61
22.5272996640625,90.380216935,fcbk,BKB-62
22.8961666521875,90.418798085,fcbk,BKB-63
22.8961290896875,90.41876046,fcbk,BKB-64
22.6269539103125,88.987394105,fcbk,BKB-65
22.94920051375,90.520510005,fcbk,BKB-66
22.9464068028125,90.52342863,fcbk,BKB-67
23.779355795,90.339110535,fcbk,BKB-68
22.7162275715625,90.349174095,fcbk,BKB-69
22.6303645490625,90.366855575,fcbk,BKB-70
22.7402316615625,89.10643496,fcbk,BKB-71
22.736029356875,89.106365085,fcbk,BKB-72
23.0178712990625,89.60393667,fcbk,BKB-73
23.629697744375,88.83574685,fcbk,BKB-74
22.9319299709375,89.02864567,fcbk,BKB-75
23.485250595625,89.390395325,fcbk,BKB-76
23.051961135625,89.671295715,fcbk,BKB-77
22.40612285875,90.135217585,fcbk,BKB-78
22.5386579353125,89.194013055,fcbk,BKB-79
22.4322348809375,89.874381025,fcbk,BKB-80
22.8275416971875,89.64334254,fcbk,BKB-81
22.5565115959375,89.95764918,fcbk,BKB-82
23.7834373759375,88.741639845,fcbk,BKB-83
23.521423300625,89.49425018,fcbk,BKB-84
22.92298823125,90.40345572,fcbk,BKB-85
22.8935523834375,89.438049715,fcbk,BKB-86
23.7906152565625,90.442482635,fcbk,BKB-87
22.40405289125,89.91195869,fcbk,BKB-88
22.3998646725,89.90674494,fcbk,BKB-89
23.7922724028125,90.315730225,fcbk,BKB-90
23.673636086875,88.605481155,fcbk,BKB-91
