id,lat,lon,type,state
BKB-114,22.54958572,90.14507783,FCBK,Barisal
BKB-115,22.45001726,90.16814274,FCBK,Barisal
BKB-116,22.31661149,89.14997906,FCBK,Khulna
BKB-117,23.41017948,89.60972216,FCBK,Dhaka
BKB-118,22.47851953,90.6950682,FCBK,Barisal
BKB-119,24.14579829,89.49762573,FCBK,Rajshahi
BKB-120,22.75657433,90.36663614,FCBK,Barisal
BKB-121,22.43353333,90.16829483,FCBK,Barisal
BKB-122,22.43689987,90.16796695,FCBK,Barisal
BKB-123,23.37333297,90.24279033,FCBK,Dhaka
BKB-124,22.61405575,90.42369338,FCBK,Barisal
BKB-125,22.54933989,90.46457802,FCBK,Barisal
BKB-126,22.39428473,89.57989181,FCBK,Khulna
BKB-127,23.62998375,90.43805663,FCBK,Dhaka
BKB-128,23.62650453,90.43969063,FCBK,Dhaka
BKB-129,23.62916677,90.43877688,FCBK,Dhaka
BKB-130,24.57867312,90.00930689,FCBK,Dhaka
BKB-131,22.75805973,89.03383546,FCBK,Khulna
BKB-132,23.81215465,88.61974536,FCBK,Khulna
BKB-133,22.79306567,90.36205788,FCBK,Barisal
BKB-134,22.8519652,89.54983015,FCBK,Khulna
BKB-135,22.82791579,89.64307473,FCBK,Khulna
BKB-136,22.65253665,90.38875083,FCBK,Barisal
BKB-137,22.65045662,90.38870784,FCBK,Barisal
BKB-138,23.12064486,89.29618262,FCBK,Khulna
BKB-139,22.55337476,90.01649251,FCBK,Barisal
BKB-140,22.55338415,90.01642264,FCBK,Barisal
BKB-141,22.84972608,89.93744256,FCBK,Khulna
BKB-142,23.874983,90.3688518,FCBK,Dhaka
BKB-143,22.81377187,90.29202994,FCBK,Barisal
BKB-144,22.55177693,90.60574085,FCBK,Barisal
BKB-145,22.62982587,90.24260051,FCBK,Barisal
BKB-146,23.9371552,90.20764893,FCBK,Dhaka
BKB-147,24.0300732,89.10671045,FCBK,Rajshahi
BKB-148,22.87262306,89.00654155,FCBK,Khulna
BKB-149,23.41696682,88.84253387,FCBK,Khulna
BKB-150,23.41706073,88.84252312,FCBK,Khulna
BKB-151,22.30871211,89.07035888,FCBK,Khulna
BKB-152,22.9420036,90.49883248,FCBK,Barisal
BKB-153,22.80014798,89.83559622,FCBK,Khulna
BKB-154,22.61306803,89.15996017,FCBK,Khulna
BKB-155,23.07401594,89.94500315,FCBK,Dhaka
BKB-156,23.09802555,89.29236899,FCBK,Khulna
BKB-157,22.90036462,89.56743676,FCBK,Khulna
BKB-158,22.37880833,89.10111831,FCBK,Khulna
BKB-159,22.74275973,89.10368173,FCBK,Khulna
BKB-160,22.5770453,89.17144229,FCBK,Khulna
BKB-161,25.86156107,89.03079967,FCBK,Rangpur
BKB-162,22.67275775,90.3195522,FCBK,Barisal
BKB-163,22.67213327,90.3191007,FCBK,Barisal
BKB-164,23.71417942,89.79418113,FCBK,Dhaka
BKB-165,23.25749027,88.89396265,FCBK,Khulna
