latitude,longitude,state,brickid
72.9749116,32.2340227612,Punjab,BKP-129
72.9776065459,33.5497851579,Punjab,BKP-130
72.9766659569,33.5475050223,Punjab,BKP-131
72.9787930707,33.5521619504,Punjab,BKP-132
72.9774044249,33.5514021254,Punjab,BKP-133
72.9807402842,33.5787454606,Punjab,BKP-134
72.9859287953,33.5814251055,Punjab,BKP-135
72.9731534687,33.5763945399,Punjab,BKP-136
72.9820532065,33.5721660415,Punjab,BKP-137
72.9817612541,33.5708843381,Punjab,BKP-138
72.9806736509,33.5708314017,Punjab,BKP-139
72.9777961902,33.570201868,Punjab,BKP-140
72.9828167745,33.5701769148,Punjab,BKP-141
72.9864998672,30.1281022407,Punjab,BKP-142
72.9909016121,31.2245858765,Punjab,BKP-143
72.9862303726,30.4598500751,Punjab,BKP-144
72.9427519129,32.3902397891,Punjab,BKP-145
72.9353291669,32.271088248,Punjab,BKP-146
72.9513879893,32.4904223596,Punjab,BKP-147
72.9498486036,30.6642168022,Punjab,BKP-148
72.9452554785,30.6146942429,Punjab,BKP-149
72.9438701605,30.6131413831,Punjab,BKP-150
72.9423027552,31.133047549,Punjab,BKP-151
72.9371823581,31.2076077176,Punjab,BKP-152
72.9416739345,31.2288079583,Punjab,BKP-153
72.9616165338,30.5563291366,Punjab,BKP-154
72.9631180037,32.9472145149,Punjab,BKP-155
72.9484562149,32.9648920764,Punjab,BKP-156
72.9456664469,31.416176564,Punjab,BKP-157
72.9445510388,31.4635676859,Punjab,BKP-158
72.9452647003,31.4228665176,Punjab,BKP-159
72.9507286481,31.4206964771,Punjab,BKP-160
72.9651087345,32.3983133978,Punjab,BKP-161
72.9646708058,33.9690738168,Khyber-Pakhtunkhwa,BKP-162
72.9622902703,34.0357737266,Khyber-Pakhtunkhwa,BKP-163
72.9570030432,34.0348304955,Khyber-Pakhtunkhwa,BKP-164
72.9594769102,33.9782202996,Khyber-Pakhtunkhwa,BKP-165
72.9597300717,33.9732060671,Khyber-Pakhtunkhwa,BKP-166
72.965731789,33.9764739924,Khyber-Pakhtunkhwa,BKP-167
72.968326949,33.9753440574,Khyber-Pakhtunkhwa,BKP-168
72.9561641506,31.3995015323,Punjab,BKP-169
72.9554159126,31.4260982068,Punjab,BKP-170
72.956201861,31.4583321599,Punjab,BKP-171
72.9594400442,31.4761103061,Punjab,BKP-172
72.9604431095,31.471268868,Punjab,BKP-173
72.9583505161,31.3648128923,Punjab,BKP-174
72.9594990764,31.3647358939,Punjab,BKP-175
73.0304684946,31.2621998997,Punjab,BKP-176
73.0235415524,31.320066426,Punjab,BKP-177
73.0302695989,31.3705389717,Punjab,BKP-178
73.0312642011,31.3666878047,Punjab,BKP-179
73.0249718625,31.3635519644,Punjab,BKP-180
73.0305555423,31.2431379984,Punjab,BKP-181
73.0289323434,31.3083943855,Punjab,BKP-182
73.0304569376,31.3052729971,Punjab,BKP-183
73.0318243649,31.5075327331,Punjab,BKP-184
73.033018415,31.5066592397,Punjab,BKP-185
73.0288908927,31.4692830199,Punjab,BKP-186
73.0259579423,31.5552226813,Punjab,BKP-187
72.9703077342,32.8907553993,Punjab,BKP-188
73.0254717786,31.4861175384,Punjab,BKP-189
73.0238059554,31.4819602973,Punjab,BKP-190
73.0478574432,31.2307234835,Punjab,BKP-191
73.0474056435,31.2307393362,Punjab,BKP-192
73.0322426099,31.4759529877,Punjab,BKP-193
73.0263899216,31.4741293648,Punjab,BKP-194
73.038167968,30.3754009524,Punjab,BKP-195
73.0339309142,30.2435357547,Punjab,BKP-196
73.0421055833,31.1523613276,Punjab,BKP-197
73.0404167506,30.4090503458,Punjab,BKP-198
73.039680132,30.408825767,Punjab,BKP-199
73.0404886158,30.4082867778,Punjab,BKP-200
73.0412858706,30.4015831,Punjab,BKP-201
73.061611858,33.000696357,Punjab,BKP-202
73.0442848296,31.744339455,Punjab,BKP-203
73.0523221921,31.6648018264,Punjab,BKP-204
73.0481302845,30.2932934383,Punjab,BKP-205
72.9942523281,30.5417099537,Punjab,BKP-206
73.0010525748,30.4448482099,Punjab,BKP-207
73.0479211983,31.5674571975,Punjab,BKP-208
73.0498934777,31.5311509391,Punjab,BKP-209
73.0431386459,31.5311808829,Punjab,BKP-210
73.0510865973,31.4881964966,Punjab,BKP-211
73.0489882636,31.4869097921,Punjab,BKP-212
72.9979444039,29.8026156638,Punjab,BKP-213
73.0616203008,32.2826759898,Punjab,BKP-214
73.0564416384,32.5264534494,Punjab,BKP-215
72.9939643587,31.540585227,Punjab,BKP-216
72.9943171215,31.1957814925,Punjab,BKP-217
73.0536702106,31.5055481655,Punjab,BKP-218
73.059957872,31.497152009,Punjab,BKP-219
73.0580836178,31.537493045,Punjab,BKP-220
73.0564786278,31.5469014004,Punjab,BKP-221
73.0533345243,31.5324741472,Punjab,BKP-222
73.0535911858,31.5279934678,Punjab,BKP-223
73.0131349154,31.0169852143,Punjab,BKP-224
73.0225279246,31.0987487486,Punjab,BKP-225
73.0193332908,33.1061072391,Punjab,BKP-226
73.0042538438,30.6614565244,Punjab,BKP-227
73.0077778,31.2989433171,Punjab,BKP-228
73.011113706,30.3009381013,Punjab,BKP-229
73.0072060345,30.3151763986,Punjab,BKP-230
73.0112035375,30.3008482698,Punjab,BKP-231
