brickid,latitude,longitude,state,type,schools_1km,hospitals_1km,pop_1km,grids_pop,total_prod(kg_day),pm2.5(kg_day),pm10(kg_day,nox(kg_day),sox(kg_day,total_prod(kg/season),pm2.5(kg_s),pm10(kg_s),nox(kg_s),sox(kg_s)
BKP-2567,70.39060226,29.18713495,Punjab,,0,0,3120,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2568,70.38956021,29.18707206,Punjab,,0,0,4135,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2569,70.38237369,28.77660615,Punjab,,0,0,3410,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-257,73.30973849,32.35686118,Punjab,,0,0,348,3,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2570,70.34159018,28.25897763,Punjab,,0,0,1415,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2571,70.3530437,29.14004526,Punjab,,0,0,1415,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2572,70.34437495,28.62831397,Punjab,,0,0,461,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2573,70.35493016,29.144447,Punjab,,0,0,3216,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2574,70.36171244,29.15221743,Punjab,,0,0,3256,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2575,70.67809908,30.13888202,Punjab,,0,0,4197,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2576,70.68007538,28.87585073,Punjab,,0,0,608,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2577,70.67796433,28.86363365,Punjab,,0,0,1324,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2578,70.68164743,29.6738242,Punjab,,0,0,1324,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2579,70.67890757,29.70580423,Punjab,,0,0,1858,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-258,73.30791708,32.30786428,Punjab,,0,0,2291,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2580,70.69224755,29.66255034,Punjab,,0,0,1693,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2581,70.69047787,30.8817169,Punjab,,0,0,1143,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2582,70.65019142,29.93331754,Punjab,,0,0,4124,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2583,70.65680555,28.60369575,Punjab,,0,0,2635,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2584,70.65689612,28.60933828,Punjab,,0,0,2340,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2585,70.65455894,28.62814457,Punjab,,0,0,423,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2586,70.64484304,28.62111506,Punjab,,0,0,4812,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2587,70.64378344,29.7236807,Punjab,,0,0,2191,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2588,70.74394559,30.23203732,Punjab,,0,0,6933,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2589,70.74897616,29.2800477,Punjab,,0,0,2553,3,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-259,73.30778711,31.35505853,Punjab,,0,0,3295,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2590,70.56922327,29.68958963,Punjab,,0,0,4661,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2591,70.56682776,29.67783668,Punjab,,0,0,1987,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2592,70.5676833,29.6779372,Punjab,,0,0,2177,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2593,70.55386208,28.58039484,Punjab,,0,0,1633,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2594,70.55628753,29.33349746,Punjab,,0,0,657,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2595,70.63202279,28.61409744,Punjab,,0,0,2656,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2596,70.63215434,28.60520876,Punjab,,0,0,2234,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2597,70.62617646,28.67633491,Punjab,,0,0,463,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2598,70.61653008,28.56569783,Punjab,,0,0,2545,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2599,70.54910101,29.46550489,Punjab,,0,0,1992,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-26,69.04867112,25.48347331,Sindh,,0,0,5921,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
