source_id,iso3_count,original_i,temporal_g,gas,emissions_,emission_1,emission_2,capacity_f,source_nam,lat,lon,other2,other3,other4,other5,other6,other2_def,other3_def,other4_def,other5_def,other6_def,geometry_r
"3143739",BGD,oil-and-gas-refining,annual,co2e_100yr,298531.2124,0.000298107,,0.651162791,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,230.8060934,35.3070364,3.07e-05,0.001604477,7290.608001,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,n2o,2.834100834,0.000298107,T of N2O per barrel refined,0.651162791,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,230.8060934,35.3070364,3.07e-05,0.001604477,7290.608001,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,ch4,14.44393804,0.001519299,T of CH4 per barrel refined,0.651162791,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,230.8060934,35.3070364,3.07e-05,0.001604477,7290.608001,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2e_20yr,330519.6572,0.000298107,,0.720930233,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,255.5353176,39.08993316,3.4e-05,0.001776385,8071.744573,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2e_100yr,330516.6995,0.000298107,,0.720930233,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,255.5353176,39.08993316,3.4e-05,0.001776385,8071.744573,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,n2o,3.137754495,0.000298107,T of N2O per barrel refined,0.720930233,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,255.5353176,39.08993316,3.4e-05,0.001776385,8071.744573,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,ch4,15.99150283,0.001519299,T of CH4 per barrel refined,0.720930233,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,255.5353176,39.08993316,3.4e-05,0.001776385,8071.744573,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2,326961.6154,31.06352068,T of CO2 per barrel refined,0.720930233,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,255.5353176,39.08993316,3.4e-05,0.001776385,8071.744573,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2e_100yr,210126.8802,0.000298107,,0.458333333,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,162.4572651,24.85153009,2.16e-05,0.001129341,5131.63331,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,n2o,1.994835855,0.000298107,T of N2O per barrel refined,0.458333333,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,162.4572651,24.85153009,2.16e-05,0.001129341,5131.63331,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,ch4,10.16664091,0.001519299,T of CH4 per barrel refined,0.458333333,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,162.4572651,24.85153009,2.16e-05,0.001129341,5131.63331,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2,207866.7259,31.06352068,T of CO2 per barrel refined,0.458333333,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,162.4572651,24.85153009,2.16e-05,0.001129341,5131.63331,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
