plnt_nm,country,cap_all,ttl_cp_,stts_ll,units,status,prod_kw,nx_tn_y,sx_tn_y,p10_tn_,p25_tn_,long,lat
Indira Gandhi Super Thermal Power Project,India,"500, 500, 500",1500,"operating, operating, operating",3,operating,13140000000,56502,94608,4861.8,2496.6,76.3731605,28.4850914
Jawaharpur Thermal Project,India,"660, 660",1320,"construction, construction",2,construction,11563200000,49721.76,83255.04,4278.384,2197.008,78.826071,27.497098
Kahalgaon Super Thermal Power Plant,India,"210, 210, 210, 210, 500, 500, 500",2340,"operating, operating, operating, operating, operating, operating, operating",7,operating,20498400000,88143.12,147588.48,7584.408,3894.696,87.2655952,25.2369032
Kanoria Captive Power Plant,India,50,50,operating,1,operating,438000000,1883.4,3153.6,162.06,83.22,83.056088,24.203819
Katwa Thermal Power Station,India,"800, 800",1600,"pre-permit, pre-permit",2,pre-permit,14016000000,60268.8,100915.2,5185.92,2663.04,88.139333,23.652583
Khamberkhera IPP power station,India,"45, 45",90,"operating, operating",2,operating,788400000,3390.12,5676.48,291.708,149.796,80.8,27.9
Khurja power station,India,"660, 660",1320,"construction, construction",2,construction,11563200000,49721.76,83255.04,4278.384,2197.008,77.908333,28.158333
Kolaghat Thermal Power Station,India,"210, 210, 210, 210, 210, 210",1260,"operating, operating, operating, operating, operating, operating",6,operating,11037600000,47461.68,79470.72,4083.912,2097.144,87.8709841,22.416565
Kundarki Ipp power station,India,"45, 45",90,"operating, operating",2,operating,788400000,3390.12,5676.48,291.708,149.796,82.23,27.03
Mahatma Gandhi power station,India,"660, 660",1320,"operating, operating",2,operating,11563200000,49721.76,83255.04,4278.384,2197.008,76.352534,28.488143
Maqsoodpur power station,India,"45, 45",90,"operating, operating",2,operating,788400000,3390.12,5676.48,291.708,149.796,79.94,27.81
Meja Thermal Power Project,India,"660, 660",1320,"operating, operating",2,operating,11563200000,49721.76,83255.04,4278.384,2197.008,81.940096,25.1458673
Mejia power station,India,"500, 500, 210, 210, 210, 210, 250, 250",2340,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,20498400000,88143.12,147588.48,7584.408,3894.696,87.1311,23.4639
Muzaffarpur power station,India,"195, 195, 110, 110",610,"construction, construction, operating, operating",4,construction,5343600000,22977.48,38473.92,1977.132,1015.284,85.3033018,26.1947708
Nabinagar Super Thermal Power Project,India,"660, 660, 660",1980,"operating, operating, operating",3,operating,17344800000,74582.64,124882.56,6417.576,3295.512,84.1580254,24.7760001
