plant_name,city,country,Latitude,Longitude,status,planty_type
NBPM North Bengal Paper Mills Ltd,PAKSEY,BANGLADESH,24.0808134,89.0519747,Operating,pulp and paper
Nikita Papers Limited,SHAMLI,INDIA,28.7467243,77.1517559,Operating,pulp and paper
Orient Paper & Industries Ltd,KOLKATA (CALCUTTA),INDIA,22.570999,88.3516711,Operating,pulp and paper
Orient Straw Board & Paper Mills Ltd,KARACHI,PAKISTAN,24.8576754,67.0030115,Operating,pulp and paper
Pakistan Paper Products,"Pakistan Paper Products
",PAKISTAN,24.90031168,66.99122894,Operating,pulp and paper
Pakistan Paper Products Ltd,KARACHI,PAKISTAN,24.8944535,66.9900475,Operating,pulp and paper
Pamwi Tissues (Lessee Swil Ltd),CHANDIGARH,INDIA,30.7299223,76.8006191,Operating,pulp and paper
Paper International Ltd,NOWSHERA,PAKISTAN,34.0057866,71.9296662,Operating,pulp and paper
"Pearl Paper & Board Mills Ltd, Magura Group",DHAKA,BANGLADESH,23.804093,90.4152376,Operating,pulp and paper
Pioneer Board,LAHORE,PAKISTAN,31.39627575,74.1458102,Operating,pulp and paper
Pioneer Paper & Board Mills Ltd,DHAKA,BANGLADESH,23.7149563,90.4181331,Operating,pulp and paper
Rishab Paper Mills Ltd,CHANDIGARH,INDIA,30.7283801,76.7706729,Operating,pulp and paper
"Rishab Paper Mills Ltd, Banah Mill",BANAH,INDIA,31.0165902,76.3868797,Operating,pulp and paper
Rohtas Industries Ltd,DELHI,INDIA,28.632378,77.2409994,Operating,pulp and paper
RP Paper Impex Pvt. Ltd,SAHIBZADA AJIT SINGH NAGAR,INDIA,30.5855185,76.8749787,Operating,pulp and paper
RPML Rama Paper Mills Limited,KIRATPUR,INDIA,29.5022083,78.2049759,Operating,pulp and paper
Sadeque Paper & Board Mills Ltd,DHAKA,BANGLADESH,23.7235889,90.4231482,Operating,pulp and paper
Sakar International Pvt Ltd,DELHI,INDIA,28.5623371,77.2132621,Operating,pulp and paper
"Sakar International Pvt Ltd, New Delhi Factory",DELHI,INDIA,28.795019,77.044496,Operating,pulp and paper
Sangal Paper Ltd,MAWANA,INDIA,29.1058152,77.9195156,Operating,pulp and paper
Shamli Paper Mills Ltd,SHAMLI,INDIA,29.5218285,77.712598,Operating,pulp and paper
Shivalik Cellulose of Hindustan Lever,GAJRAULA,INDIA,28.8381644,78.2421812,Operating,pulp and paper
Shree Acids & Chemicals Ltd,DELHI,INDIA,28.7125187,77.1730944,Operating,pulp and paper
"Shree Acids & Chemicals Ltd, Gajraula Mill",GAJRAULA,INDIA,28.8386481,78.7733286,Operating,pulp and paper
Shree Bhawani Paper Mills Ltd,ALLAHABAD,INDIA,25.4601917,81.8454779,Operating,pulp and paper
"Shree Bhawani Paper Mills Ltd, Rae Bareli Mill",RAE BARELI,INDIA,26.2212165,81.2589529,Operating,pulp and paper
Shree Jagdambe Paper Mills Ltd,SIRSA,INDIA,29.5139323,75.0363827,Operating,pulp and paper
Shree Krishna Paper Mills & Ind. Ltd,DELHI,INDIA,28.6442998,77.2442405,Operating,pulp and paper
"Shree Krishna Paper Mills & Ind. Ltd, Bansal Paper Mills",BAHADURGARH,INDIA,30.667842,76.844194,Operating,pulp and paper
