plant_name,city,country,latitude,longitude,status,plant_type,capacity_p,capacity_1
Mukerian Papers Ltd,Ludhiana,India,30.8754888,75.8888152,Operating,Paper,N/A,No information
"Mukerian Papers Ltd, Mukerian Mill",Mukerian,India,31.9280757,75.6288101,Operating,Paper,N/A,No information
NBPM North Bengal Paper Mills Ltd,Paksey,Bangladesh,24.0808134,89.0519747,Operating,Paper,N/A,No information
Nikita Papers Limited,Shamli,India,28.7467243,77.1517559,Operating,Paper,N/A,No information
Orient Paper & Industries Ltd,Kolkata,India,22.570999,88.3516711,Operating,Paper,N/A,No information
Orient Straw Board & Paper Mills Ltd,Karachi,Pakistan,24.8576754,67.0030115,Operating,Pulp and paper,"7,500","11,000"
Packages Ltd,Lahore,Pakistan,31.46950794,74.34984109,Operating,Pulp and paper and packaging,"94,000","42,500"
Pakistan Paper Products,Karachi,Pakistan,24.90031168,66.99122894,Operating,Packaging,N/A,"200,000"
Pamwi Tissues (Lessee Swil Ltd),Chandigarh,India,30.7299223,76.8006191,Operating,Paper,N/A,No information
"Pearl Paper & Board Mills Ltd, Magura Group",Dhaka,Bangladesh,23.804093,90.4152376,Operating,Paper,N/A,"40,000"
Paper International Ltd,Nowshera,Pakistan,34.0057866,71.9296662,Operating,pulp and paper,,
Pioneer Board,Lahore,Pakistan,31.39627575,74.1458102,Operating,Packaging,N/A,"30,000"
Pioneer Paper & Board Mills Ltd,Dhaka,Bangladesh,23.7149563,90.4181331,Operating,Paper,N/A,No information
Rishab Paper Mills Ltd,Chandigarh,India,30.7283801,76.7706729,Operating,Paper,N/A,No information
"Rishab Paper Mills Ltd, Banah Mill",Banah,India,31.0165902,76.3868797,Operating,Paper,N/A,No information
Rohtas Industries Ltd,Delhi,India,28.632378,77.2409994,Operating,Paper,N/A,No information
RP Paper Impex Pvt. Ltd,Sahibzada Ajit Singh Nagar,India,30.5855185,76.8749787,Operating,Paper,N/A,No information
RPML Rama Paper Mills Limited,Kiratpur,India,29.5022083,78.2049759,Operating,Paper and packaging,N/A,No information
Sadeque Paper & Board Mills Ltd,Dhaka,Bangladesh,23.7235889,90.4231482,Operating,Paper,N/A,No information
Sakar International Pvt Ltd,Delhi,India,28.5623371,77.2132621,Operating,Paper,N/A,No information
"Sakar International Pvt Ltd, New Delhi Factory",Delhi,India,28.795019,77.044496,Operating,Paper,N/A,No information
Sangal Paper Ltd,Mawana,India,29.1058152,77.9195156,Operating,Paper,N/A,No information
Shamli Paper Mills Ltd,Shamli,India,29.5218285,77.712598,Operating,Paper,N/A,No information
Shivalik Cellulose of Hindustan Lever,Gajraula,India,28.8381644,78.2421812,Operating,Paper,N/A,No information
Shree Acids & Chemicals Ltd,Delhi,India,28.7125187,77.1730944,Operating,Paper,N/A,No information
"Shree Acids & Chemicals Ltd, Gajraula Mill",Gajraula,India,28.8386481,78.7733286,Operating,Paper,N/A,No information
