level,id,name0,name1,name,population,pm2023,population_weighted_exposure,normalised_exposure
2,17347,India,Assam,Kamrup Metropolitan,1305488,44.89,0.041918794,0.035213302
2,17348,India,Assam,Karbi Anglong,1106128,25.26,0.01998596,0.016788929
2,17349,India,Assam,Karimganj,1439431,34.96,0.035995529,0.030237546
2,17350,India,Assam,Kokrajhar,1220203,30.17,0.026332597,0.022120333
2,17351,India,Assam,Lakhimpur,1322875,19.71,0.018650553,0.015667139
2,17352,India,Assam,Morigaon,1088288,33.94,0.026420557,0.022194223
2,17353,India,Assam,Nagaon,3236330,28.04,0.06491082,0.054527436
2,17354,India,Assam,Nalbari,937420,28.88,0.019365009,0.016267307
2,17355,India,Assam,Sivasagar,1352774,22.34,0.021616964,0.018159032
2,17356,India,Assam,Sonitpur,2269081,21.82,0.035415309,0.02975014
2,17357,India,Assam,Tinsukia,1508496,17.5,0.018882892,0.015862312
2,17358,India,Assam,Udalguri,905893,27.56,0.017858394,0.015001697
2,17359,India,Bihar,Araria,3425442,53.7,0.131576155,0.110528728
2,17360,India,Bihar,Arwal,850133,55.09,0.033500087,0.028141284
2,17361,India,Bihar,Aurangabad,3045248,46.6,0.101506738,0.08526933
2,17362,India,Bihar,Banka,2452291,45.38,0.079601781,0.066868374
2,17363,India,Bihar,Begusarai,3604924,67.03,0.17284293,0.145194311
2,17364,India,Bihar,Bhagalpur,3698898,58.83,0.155652999,0.130754147
2,17365,India,Bihar,Bhojpur,3324678,59.32,0.141070765,0.118504543
2,17366,India,Bihar,Buxar,2043195,57.25,0.083670352,0.070286121
2,17367,India,Bihar,Darbhanga,4794877,65.69,0.225300949,0.189260943
2,17368,India,Bihar,Gaya,5285234,46.9,0.177305967,0.148943423
2,17369,India,Bihar,Gopalganj,3116760,67.35,0.150150661,0.126131985
2,17370,India,Bihar,Jamui,2145593,44.84,0.068817555,0.057809234
2,17371,India,Bihar,Jehanabad,1368924,54.38,0.053248187,0.044730403
2,17372,India,Bihar,Kaimur,1960111,43.97,0.061648629,0.051787077
2,17373,India,Bihar,Katihar,3696328,57.68,0.152504283,0.128109112
2,17374,India,Bihar,Khagaria,2009611,66.02,0.09490166,0.079720825
2,17375,India,Bihar,Kishanganj,2051333,46.01,0.067511023,0.0567117
2,17376,India,Bihar,Lakhisarai,1257196,58.01,0.052166553,0.043821791
2,17377,India,Bihar,Madhepura,2411063,60.78,0.104822748,0.088054899
2,17378,India,Bihar,Madhubani,5417341,60.69,0.235174159,0.197554797
2,17379,India,Bihar,Munger,1582958,56.79,0.064302454,0.054016387
2,17380,India,Bihar,Muzaffarpur,5767180,68.14,0.281094225,0.236129313
2,17381,India,Bihar,Nalanda,3474816,58.93,0.146471976,0.123041756
2,17382,India,Bihar,Nawada,2699394,50.03,0.096601322,0.081148603
2,17383,India,Bihar,Pashchim Champaran,4747141,60.57,0.205672389,0.172772243
2,17384,India,Bihar,Patna,7017712,66.44,0.333511991,0.280162131
2,17385,India,Bihar,Purba Champaran,6113718,67.39,0.294704758,0.247562652
2,17386,India,Bihar,Purnia,3949429,57.04,0.161138797,0.135362415
2,17387,India,Bihar,Rohtas,3600225,47.47,0.122246142,0.10269118
2,17388,India,Bihar,Saharsa,2291623,63.84,0.104645929,0.087906364
2,17389,India,Bihar,Samastipur,5141691,69.48,0.255535988,0.214659469
2,17390,India,Bihar,Saran,4812330,67.98,0.234003767,0.196571625
2,17391,India,Bihar,Sheikhpura,763961,58.94,0.032208286,0.027056124
