city,state,country,iso3,country_code,region,sub_region,latitude,longitude,accuracy,status,plant_type,primary_production_type,primary_product,capacity,capacity_source,year
Bhilai,Chhattisgarh,India,IND,356,Asia,Southern Asia,21.189193000000000,81.390631999999997,Exact,Operating,Integrated,BF,Crude Steel,,,
Raurkela Industrial Township,Odisha,India,IND,356,Asia,Southern Asia,22.212810999999999,84.866972000000004,Exact,Operating,Integrated,BF,Crude Steel,,,
Maramangalathupatti,Tamil Nadu,India,IND,356,Asia,Southern Asia,11.660148000000000,78.026745000000005,Exact,Operating,,,,,,
Durgapur,West Bengal,India,IND,356,Asia,Southern Asia,23.522881999999999,87.275935000000004,Exact,Operating,,,,,,1965
Chandrapur,Maharashtra,India,IND,356,Asia,Southern Asia,19.963892999999999,79.333217000000005,Exact,Operating,,,,,,
Bhadravathi,Karnataka,India,IND,356,Asia,Southern Asia,13.831617000000000,75.702087000000006,Exact,Operating,,,,,,
Relligavirammapeta,Andhra Pradesh,India,IND,356,Asia,Southern Asia,17.963265000000000,83.161135000000002,Exact,Operating,Mini-Mill,IF,Crude Steel,0.250000000000000,http://www.seil.co.in/steel.html,
Warthi,Maharashtra,India,IND,356,Asia,Southern Asia,21.232928999999999,79.632397999999995,Exact,Operating,Integrated,BF,Crude Steel,0.500000000000000,https://sunflagsteel.com/company/,1989
Gobara Ghati,Odisha,India,IND,356,Asia,Southern Asia,20.969287999999999,86.010814999999994,Exact,Operating,Integrated,BF,Crude Steel,,,
Jamshedpur,Jharkhand,India,IND,356,Asia,Southern Asia,22.789035999999999,86.201881999999998,Exact,Operating,Integrated,BF,Crude Steel,,,
Latibpur,West Bengal,India,IND,356,Asia,Southern Asia,22.385611000000001,87.287178999999995,Exact,Operating,Integrated,BF,Crude Steel,,,
Sarapa,Odisha,India,IND,356,Asia,Southern Asia,20.793690999999999,85.260537999999997,Exact,Operating,Integrated,BF,Crude Steel,,,
Jamshedpur,Jharkhand,India,IND,356,Asia,Southern Asia,22.814903999999999,86.236176999999998,Exact,Operating,,,,,,
Belaipada,Odisha,India,IND,356,Asia,Southern Asia,22.054641000000000,85.465841999999995,Exact,Operating,,,,,,
Boisar,Maharashtra,India,IND,356,Asia,Southern Asia,19.794754000000001,72.733897999999996,Exact,Operating,,,,0.420000000000000,http://www.tatawire.com/corporate/tata-steel-global-wires-india/,
Raigad,Maharashtra,India,IND,356,Asia,Southern Asia,18.800830000000001,73.289828999999997,Exact,Operating,,,,,,2004
Ghaziabad,Uttar Pradesh,India,IND,356,Asia,Southern Asia,28.648921000000001,77.331907000000001,Exact,Operating,,,,,,1987
Nuashasan,Odisha,India,IND,356,Asia,Southern Asia,20.473334000000001,85.750130999999996,Exact,Operating,,,,,,
Zuzuvadi,Tamil Nadu,India,IND,356,Asia,Southern Asia,12.761075999999999,77.801267999999993,Exact,Operating,,,,,,
Nashik,Maharashtra,India,IND,356,Asia,Southern Asia,19.823169000000000,73.667178000000007,Exact,Operating,,,,,,
Haratu,Jharkhand,India,IND,356,Asia,Southern Asia,23.370283000000001,85.427581000000004,Exact,Operating,,,,,,1961
Hoshiarpur,Punjab,India,IND,356,Asia,Southern Asia,31.583477999999999,75.950789999999998,Exact,Operating,,,,,,1974
Jajpur,Odisha,India,IND,356,Asia,Southern Asia,20.944023999999999,86.060744000000000,Exact,Operating,Integrated and Mini-Mill,BF/EAF,Crude Steel,0.725000000000000,http://visasteel.com/about.php,
