country,asset_type,lat,lon,status,id
India,solid-waste-disposal,26.44879069,80.23414917,Active,1
India,solid-waste-disposal,26.44879069,80.23414917,Active,2
India,solid-waste-disposal,26.44879069,80.23414917,Active,3
India,solid-waste-disposal,26.44879069,80.23414917,Active,4
India,solid-waste-disposal,26.44879069,80.23414917,Active,5
India,solid-waste-disposal,26.44879069,80.23414917,Active,6
India,solid-waste-disposal,26.44879069,80.23414917,Active,7
India,solid-waste-disposal,26.44879069,80.23414917,Active,8
India,solid-waste-disposal,26.44879069,80.23414917,Active,9
India,solid-waste-disposal,26.44879069,80.23414917,Active,10
India,solid-waste-disposal,28.51897629,77.31985554,Active,11
India,solid-waste-disposal,29.95810865,74.69024591,Active,12
India,solid-waste-disposal,28.51897629,77.31985554,Active,13
India,solid-waste-disposal,28.51897629,77.31985554,Active,14
India,solid-waste-disposal,28.51897629,77.31985554,Active,15
India,solid-waste-disposal,28.51897629,77.31985554,Active,16
India,solid-waste-disposal,28.51897629,77.31985554,Active,17
India,solid-waste-disposal,28.51897629,77.31985554,Active,18
India,solid-waste-disposal,28.51897629,77.31985554,Active,19
India,solid-waste-disposal,28.51897629,77.31985554,Active,20
India,solid-waste-disposal,28.51897629,77.31985554,Active,21
India,solid-waste-disposal,28.5116934,77.28423244,Active,22
India,solid-waste-disposal,28.5116934,77.28423244,Active,23
India,solid-waste-disposal,28.5116934,77.28423244,Active,24
India,solid-waste-disposal,28.5116934,77.28423244,Active,25
India,solid-waste-disposal,28.5116934,77.28423244,Active,26
India,solid-waste-disposal,28.5116934,77.28423244,Active,27
India,solid-waste-disposal,28.5116934,77.28423244,Active,28
India,solid-waste-disposal,28.5116934,77.28423244,Active,29
India,solid-waste-disposal,28.5116934,77.28423244,Active,30
India,solid-waste-disposal,28.5116934,77.28423244,Active,31
India,solid-waste-disposal,25.21651689,87.57223101,Active,32
India,solid-waste-disposal,25.21651689,87.57223101,Active,33
India,solid-waste-disposal,25.21651689,87.57223101,Active,34
India,solid-waste-disposal,25.21651689,87.57223101,Active,35
India,solid-waste-disposal,25.21651689,87.57223101,Active,36
India,solid-waste-disposal,25.21651689,87.57223101,Active,37
India,solid-waste-disposal,25.21651689,87.57223101,Active,38
India,solid-waste-disposal,25.21651689,87.57223101,Active,39
India,solid-waste-disposal,25.21651689,87.57223101,Active,40
India,solid-waste-disposal,25.21651689,87.57223101,Active,41
India,solid-waste-disposal,25.19760546,87.66314084,Active,42
India,solid-waste-disposal,25.19760546,87.66314084,Active,43
India,solid-waste-disposal,25.19760546,87.66314084,Active,44
India,solid-waste-disposal,25.19760546,87.66314084,Active,45
India,solid-waste-disposal,25.19760546,87.66314084,Active,46
India,solid-waste-disposal,25.19760546,87.66314084,Active,47
India,solid-waste-disposal,25.19760546,87.66314084,Active,48
India,solid-waste-disposal,25.19760546,87.66314084,Active,49
India,solid-waste-disposal,25.19760546,87.66314084,Active,50
India,solid-waste-disposal,25.19760546,87.66314084,Active,51
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,52
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,53
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,54
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,55
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,56
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,57
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,58
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,59
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,60
BGD,solid-waste-disposal,23.79789347,90.30034971,Active,61
India,solid-waste-disposal,22.56436129,88.44814159,Active,62
India,solid-waste-disposal,22.56436129,88.44814159,Active,63
India,solid-waste-disposal,22.56436129,88.44814159,Active,64
India,solid-waste-disposal,22.56436129,88.44814159,Active,65
India,solid-waste-disposal,22.56436129,88.44814159,Active,66
India,solid-waste-disposal,22.56436129,88.44814159,Active,67
India,solid-waste-disposal,22.56436129,88.44814159,Active,68
India,solid-waste-disposal,22.56436129,88.44814159,Active,69
India,solid-waste-disposal,22.56436129,88.44814159,Active,70
India,solid-waste-disposal,22.56436129,88.44814159,Active,71
India,solid-waste-disposal,30.14190134,74.18220034,Active,72
India,solid-waste-disposal,30.14190134,74.18220034,Active,73
India,solid-waste-disposal,30.14190134,74.18220034,Active,74
India,solid-waste-disposal,30.14190134,74.18220034,Active,75
India,solid-waste-disposal,30.14190134,74.18220034,Active,76
India,solid-waste-disposal,30.14190134,74.18220034,Active,77
India,solid-waste-disposal,30.14190134,74.18220034,Active,78
India,solid-waste-disposal,30.14190134,74.18220034,Active,79
India,solid-waste-disposal,30.14190134,74.18220034,Active,80
India,solid-waste-disposal,30.14190134,74.18220034,Active,81
India,solid-waste-disposal,30.7096419,76.68254875,Active,82
India,solid-waste-disposal,30.7096419,76.68254875,Active,83
India,solid-waste-disposal,30.7096419,76.68254875,Active,84
India,solid-waste-disposal,30.7096419,76.68254875,Active,85
India,solid-waste-disposal,30.7096419,76.68254875,Active,86
India,solid-waste-disposal,30.7096419,76.68254875,Active,87
India,solid-waste-disposal,30.7096419,76.68254875,Active,88
India,solid-waste-disposal,30.7096419,76.68254875,Active,89
India,solid-waste-disposal,30.7096419,76.68254875,Active,90
India,solid-waste-disposal,30.7096419,76.68254875,Active,91
India,solid-waste-disposal,29.64379324,77.04850677,Active,92
India,solid-waste-disposal,29.64379324,77.04850677,Active,93
India,solid-waste-disposal,29.64379324,77.04850677,Active,94
India,solid-waste-disposal,29.64379324,77.04850677,Active,95
