country,plant_name,daily_prod,nox_ton_yr,sox_ton_yr,p10_ton_yr,p25_ton_yr,cap_mw,status,coal_type,location,heat_rate,emi_factor,latitude,longitude
India,Bhognipur power station,,,,,,660,permitted,,Kanpur Dehat,,,26.194167,79.9075
India,Bilhaur Super Thermal Power Plant,,,,,,660,pre-permit,,Kanpur,,,26.763391,80.05806
India,Bilhaur Super Thermal Power Plant,,,,,,660,pre-permit,,Kanpur,,,26.763391,80.05806
India,Budge Budge Generating Station,2190000000,9417,15768,810.3,416.1,250,operating,unknown,South 24 Parganas,12183,96100,22.4703437,88.1399487
India,Budge Budge Generating Station,2190000000,9417,15768,810.3,416.1,250,operating,unknown,South 24 Parganas,12183,96100,22.4703437,88.1399487
India,Budge Budge Generating Station,2190000000,9417,15768,810.3,416.1,250,operating,unknown,South 24 Parganas,11313,96100,22.4703437,88.1399487
India,Buxar Thermal Power Station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Buxa,8409,96100,25.462349,83.882568
India,Buxar Thermal Power Station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Buxa,8409,96100,25.462349,83.882568
India,Chunar Cement power station,332880000,1431.384,2396.736,123.1656,63.2472,38,operating,unknown,Mirzapur,11313,96100,25.0908847,82.8973389
India,Churk captive power station,525600000,2260.08,3784.32,194.472,99.864,60,operating,unknown,Sonebhadra,10326,96100,24.6391037,83.1010848
India,Churk captive power station,525600000,2260.08,3784.32,194.472,99.864,60,operating,unknown,Sonebhadra,10326,96100,24.6391037,83.1010848
India,Churk captive power station,525600000,2260.08,3784.32,194.472,99.864,60,operating,unknown,Sonebhadra,10326,96100,24.6391037,83.1010848
India,Churk captive power station,525600000,2260.08,3784.32,194.472,99.864,60,operating,unknown,Sonebhadra,10326,96100,24.6391037,83.1010848
India,Deenbandhu Chhotu Ram Thermal Power Plant,2628000000,11300.4,18921.6,972.36,499.32,300,operating,unknown,Yamunanagar,10442,96100,30.1075175,77.3267646
India,Deenbandhu Chhotu Ram Thermal Power Plant,2628000000,11300.4,18921.6,972.36,499.32,300,operating,unknown,Yamunanagar,10442,96100,30.1075175,77.3267646
India,Durgapur Projects Limited power station,2628000000,11300.4,18921.6,972.36,499.32,300,operating,bituminous,Bardhaman,10442,94600,23.5211473,87.3023093
India,Durgapur Projects Limited power station,2190000000,9417,15768,810.3,416.1,250,operating,bituminous,Bardhaman,10442,94600,23.5211473,87.3023093
India,Durgapur SAIL power station,525600000,2260.08,3784.32,194.472,99.864,60,operating,unknown,Bardhaman,12618,96100,23.5518052,87.2484754
India,Durgapur SAIL power station,525600000,2260.08,3784.32,194.472,99.864,60,operating,unknown,Bardhaman,12618,96100,23.5518052,87.2484754
India,Durgapur Steel City Andal power station,4380000000,18834,31536,1620.6,832.2,500,operating,bituminous,Bardhaman,9572,94600,23.58,87.2043
India,Durgapur Steel City Andal power station,4380000000,18834,31536,1620.6,832.2,500,operating,bituminous,Bardhaman,9572,94600,23.58,87.2043
India,Farakka power station,1752000000,7533.6,12614.4,648.24,332.88,200,operating,subbituminous,Murshidabad,12618,96100,24.7727289,87.893707
