OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
70,4.000000000000000,0.000277777777778,392,699,307,513.500000000000000,113.204461042840535,2054.000000000000000,4,392,1,25.0000000,392,1,25.0000000,477,699
71,4.000000000000000,0.000277777777778,21,1011,990,466.500000000000000,358.935579178214084,1866.000000000000000,4,21,1,25.0000000,21,1,25.0000000,329,1011
72,4.000000000000000,0.000277777777778,21,1041,1020,435.999999999999943,390.541931167448411,1744.000000000000000,4,21,1,25.0000000,21,1,25.0000000,177,1041
73,4.000000000000000,0.000277777777778,669,1763,1094,1096.750000000000000,437.134061244373868,4387.000000000000000,4,669,1,25.0000000,669,1,25.0000000,744,1763
74,4.000000000000000,0.000277777777778,288,7124,6836,2697.000000000000000,2656.669531575201290,10788.000000000000000,4,288,1,25.0000000,288,1,25.0000000,1058,7124
75,4.000000000000000,0.000277777777778,301,1347,1046,657.250000000000000,408.723852374681030,2629.000000000000000,4,301,1,25.0000000,301,1,25.0000000,420,1347
76,4.000000000000000,0.000277777777778,730,1083,353,902.750000000000000,127.154187898000430,3611.000000000000000,4,730,1,25.0000000,730,1,25.0000000,865,1083
77,4.000000000000000,0.000277777777778,61,571,510,366.500000000000000,188.017951270616720,1466.000000000000000,4,61,1,25.0000000,61,1,25.0000000,393,571
78,4.000000000000000,0.000277777777778,33,3494,3461,1310.750000000000000,1304.721498060026533,5243.000000000000000,4,33,1,25.0000000,33,1,25.0000000,857,3494
79,3.000000000000000,0.000208333333333,15,74,59,45.666666666666671,24.143091949642425,137.000000000000000,3,15,1,33.3333015,15,1,33.3333015,48,74
80,4.000000000000000,0.000277777777778,10,543,533,258.000000000000000,235.700021213405932,1032.000000000000000,4,10,1,25.0000000,10,1,25.0000000,41,543
81,4.000000000000000,0.000277777777778,122,1214,1092,570.750000000000000,406.862000560386548,2283.000000000000000,4,122,1,25.0000000,122,1,25.0000000,355,1214
82,4.000000000000000,0.000277777777778,19,2460,2441,774.500000000000000,989.343848214562854,3098.000000000000000,4,19,1,25.0000000,19,1,25.0000000,121,2460
83,4.000000000000000,0.000277777777778,72,1410,1338,529.750000000000000,519.728955802926180,2119.000000000000000,4,72,1,25.0000000,72,1,25.0000000,260,1410
84,3.000000000000000,0.000208333333333,198,1205,1007,847.333333333333371,459.937918516063291,2542.000000000000000,3,198,1,33.3333015,198,1,33.3333015,1139,1205
85,4.000000000000000,0.000277777777778,44,5021,4977,1598.750000000000000,1992.037446309682309,6395.000000000000000,4,44,1,25.0000000,44,1,25.0000000,661,5021
86,4.000000000000000,0.000277777777778,2,4,2,2.500000000000000,0.866025403784439,10.000000000000000,2,2,3,75.0000000,4,1,25.0000000,2,4
87,4.000000000000000,0.000277777777778,2698,81771,79073,29507.500000000000000,31142.773499641934905,118030.000000000000000,4,2698,1,25.0000000,2698,1,25.0000000,9524,81771
88,5.000000000000000,0.000347222222222,0,700,700,346.600000000000023,294.035099945567708,1733.000000000000000,5,0,1,20.0000000,0,1,20.0000000,436,700
89,4.000000000000000,0.000277777777778,0,594,594,272.000000000000000,250.179935246614065,1088.000000000000000,4,0,1,25.0000000,0,1,25.0000000,58,594
90,4.000000000000000,0.000277777777778,719,2711,1992,1233.000000000000000,853.424864882667976,4932.000000000000000,4,719,1,25.0000000,719,1,25.0000000,749,2711
