id,city,state,country,region,sub_region,latitude,longitude,status,plant_type,production,capacity,capacity_s,year,owner_name
18,Sirajganj District,Rajshahi Division,Bangladesh,Asia,Southern Asia,24.290893,89.566546,Operating,Grinding,,0,,0,
19,Raebareli,Uttar Pradesh,India,Asia,Southern Asia,26.253459,81.250948,Operating,Grinding,,1.3,https://www.birlacorporation.com/plants.html,0,Birla Corporation Ltd
20,Durgapur,West Bengal,India,Asia,Southern Asia,23.562013,87.23354,Operating,Grinding,,2.3,https://www.birlacorporation.com/plants.html,0,Birla Corporation Ltd
21,Khairhani,Uttar Pradesh,India,Asia,Southern Asia,26.404843,81.130322,Operating,Grinding,,2,https://www.birlacorporation.com/plants.html,0,RCCPL Pvt Ltd
22,Asaida Pur,Uttar Pradesh,India,Asia,Southern Asia,26.190592,81.706283,Operating,Grinding,,0,,0,ACC Ltd
23,Bathinda,Punjab,India,Asia,Southern Asia,30.233638,74.912213,Operating,Grinding,,0,,2000,Ambuja Cements Ltd
24,Gautam Buddh Nagar,Uttar Pradesh,India,Asia,Southern Asia,28.570512,77.546556,Operating,Grinding,,0,,2010,Ambuja Cements Ltd
25,Howrah,West Bengal,India,Asia,Southern Asia,22.569254,88.194228,Operating,Grinding,,0,,0,Ambuja Cements Ltd
26,Lakesri,Uttarakhand,India,Asia,Southern Asia,29.967487,77.769868,Operating,Grinding,,0,,0,Ambuja Cements Ltd
27,Farakka,West Bengal,India,Asia,Southern Asia,24.775292,87.88645,Operating,Grinding,,0,,0,Ambuja Cements Ltd
28,Dhalo,West Bengal,India,Asia,Southern Asia,24.388462,88.083237,Operating,Grinding,,2,http://birlagoldcement.com/our-plants#plantsdropdown,2013,Century Cement
29,Kota Chandipur,West Bengal,India,Asia,Southern Asia,23.439328,87.51119,Operating,Grinding,,2.5,https://www.doublebullcement.com/plant-panagarh.php,2017,Nu Vista Ltd
30,Nandanpur,West Bengal,India,Asia,Southern Asia,23.461907,87.120726,Operating,Grinding,,0,,2009,Nuvoco Vistas Corporation Ltd
31,Lebura,Bihar,India,Asia,Southern Asia,24.670568,83.9891,Operating,Integrated,Dry,0,,0,Kalyanpur Cements Ltd
32,Bhiwani,Haryana,India,Asia,Southern Asia,28.455175,76.273575,Operating,Grinding,,0,,0,Nuvoco Vistas Corporation Ltd
33,Kulharia,Bihar,India,Asia,Southern Asia,25.223534,83.461625,Operating,Grinding,,0.8,https://www.doublebullcement.com/plant-bhabua.php,2018,Nu Vista Ltd
34,Rana,West Bengal,India,Asia,Southern Asia,22.528774,87.313274,Operating,Grinding,,0,,0,OCL India Ltd
35,Kolaghat,West Bengal,India,Asia,Southern Asia,22.423362,87.862852,Operating,Grinding,,1.95,http://www.ramcocements.in/kolaghat.aspx,2010,Ramco Cements Ltd
36,Mohanbari,Haryana,India,Asia,Southern Asia,28.490245,76.386299,Operating,Grinding,,0,,0,J K Cement Ltd
37,Raipur,Uttarakhand,India,Asia,Southern Asia,29.758381,78.062049,Operating,Grinding,,0,,0,Shree Cement Ltd
