brickid,state,latitude,longitude
BKP-139,Punjab,72.98067365,33.5708314
BKP-140,Punjab,72.97779619,33.57020187
BKP-141,Punjab,72.98281677,33.57017691
BKP-142,Punjab,72.98649987,30.12810224
BKP-143,Punjab,72.99090161,31.22458588
BKP-144,Punjab,72.98623037,30.45985008
BKP-145,Punjab,72.94275191,32.39023979
BKP-146,Punjab,72.93532917,32.27108825
BKP-147,Punjab,72.95138799,32.49042236
BKP-148,Punjab,72.9498486,30.6642168
BKP-149,Punjab,72.94525548,30.61469424
BKP-150,Punjab,72.94387016,30.61314138
BKP-151,Punjab,72.94230276,31.13304755
BKP-152,Punjab,72.93718236,31.20760772
BKP-153,Punjab,72.94167393,31.22880796
BKP-154,Punjab,72.96161653,30.55632914
BKP-155,Punjab,72.963118,32.94721451
BKP-156,Punjab,72.94845621,32.96489208
BKP-157,Punjab,72.94566645,31.41617656
BKP-158,Punjab,72.94455104,31.46356769
BKP-159,Punjab,72.9452647,31.42286652
BKP-160,Punjab,72.95072865,31.42069648
BKP-161,Punjab,72.96510873,32.3983134
BKP-162,Khyber-Pakhtunkhwa,72.96467081,33.96907382
BKP-163,Khyber-Pakhtunkhwa,72.96229027,34.03577373
BKP-164,Khyber-Pakhtunkhwa,72.95700304,34.0348305
BKP-165,Khyber-Pakhtunkhwa,72.95947691,33.9782203
BKP-166,Khyber-Pakhtunkhwa,72.95973007,33.97320607
BKP-167,Khyber-Pakhtunkhwa,72.96573179,33.97647399
BKP-168,Khyber-Pakhtunkhwa,72.96832695,33.97534406
BKP-169,Punjab,72.95616415,31.39950153
BKP-170,Punjab,72.95541591,31.42609821
BKP-171,Punjab,72.95620186,31.45833216
BKP-172,Punjab,72.95944004,31.47611031
BKP-173,Punjab,72.96044311,31.47126887
BKP-174,Punjab,72.95835052,31.36481289
BKP-175,Punjab,72.95949908,31.36473589
BKP-176,Punjab,73.03046849,31.2621999
BKP-177,Punjab,73.02354155,31.32006643
BKP-178,Punjab,73.0302696,31.37053897
BKP-179,Punjab,73.0312642,31.3666878
BKP-180,Punjab,73.02497186,31.36355196
BKP-181,Punjab,73.03055554,31.243138
BKP-182,Punjab,73.02893234,31.30839439
BKP-183,Punjab,73.03045694,31.305273
BKP-184,Punjab,73.03182436,31.50753273
BKP-185,Punjab,73.03301842,31.50665924
BKP-186,Punjab,73.02889089,31.46928302
BKP-187,Punjab,73.02595794,31.55522268
BKP-188,Punjab,72.97030773,32.8907554
BKP-189,Punjab,73.02547178,31.48611754
BKP-190,Punjab,73.02380596,31.4819603
BKP-191,Punjab,73.04785744,31.23072348
BKP-192,Punjab,73.04740564,31.23073934
BKP-193,Punjab,73.03224261,31.47595299
BKP-194,Punjab,73.02638992,31.47412936
BKP-195,Punjab,73.03816797,30.37540095
BKP-196,Punjab,73.03393091,30.24353575
BKP-197,Punjab,73.04210558,31.15236133
BKP-198,Punjab,73.04041675,30.40905035
BKP-199,Punjab,73.03968013,30.40882577
BKP-200,Punjab,73.04048862,30.40828678
BKP-201,Punjab,73.04128587,30.4015831
BKP-202,Punjab,73.06161186,33.00069636
BKP-203,Punjab,73.04428483,31.74433946
BKP-204,Punjab,73.05232219,31.66480183
BKP-205,Punjab,73.04813028,30.29329344
BKP-206,Punjab,72.99425233,30.54170995
BKP-207,Punjab,73.00105257,30.44484821
BKP-208,Punjab,73.0479212,31.5674572
BKP-209,Punjab,73.04989348,31.53115094
BKP-210,Punjab,73.04313865,31.53118088
BKP-211,Punjab,73.0510866,31.4881965
BKP-212,Punjab,73.04898826,31.48690979
BKP-213,Punjab,72.9979444,29.80261566
BKP-214,Punjab,73.0616203,32.28267599
BKP-215,Punjab,73.05644164,32.52645345
BKP-216,Punjab,72.99396436,31.54058523
BKP-217,Punjab,72.99431712,31.19578149
BKP-218,Punjab,73.05367021,31.50554817
BKP-219,Punjab,73.05995787,31.49715201
BKP-220,Punjab,73.05808362,31.53749305
BKP-221,Punjab,73.05647863,31.5469014
BKP-222,Punjab,73.05333452,31.53247415
BKP-223,Punjab,73.05359119,31.52799347
BKP-224,Punjab,73.01313492,31.01698521
BKP-225,Punjab,73.02252792,31.09874875
BKP-226,Punjab,73.01933329,33.10610724
BKP-227,Punjab,73.00425384,30.66145652
BKP-228,Punjab,73.0077778,31.29894332
BKP-229,Punjab,73.01111371,30.3009381
BKP-230,Punjab,73.00720603,30.3151764
BKP-231,Punjab,73.01120354,30.30084827
BKP-232,Punjab,73.01102387,30.45383136
BKP-233,Punjab,73.01101104,30.44495729
BKP-234,Punjab,73.01669498,30.28802775
BKP-235,Punjab,73.02234265,30.28566674
BKP-236,Punjab,73.02270197,30.38578398
BKP-237,Punjab,73.33481264,31.49782644
BKP-238,Punjab,73.33604963,33.24361542
BKP-239,Punjab,73.02539692,32.37294722
BKP-240,Punjab,73.02800203,32.4093739
BKP-241,Punjab,73.33338431,30.58893798
BKP-242,Punjab,73.33922336,30.7687807
BKP-243,Punjab,73.33917573,30.70273956
BKP-244,Punjab,73.34368894,32.40421805
BKP-245,Punjab,73.34811668,32.36984803
BKP-246,Punjab,73.34802685,32.35278004
BKP-247,Punjab,73.35111962,32.35163148
BKP-248,Punjab,73.35741425,32.7663095
BKP-249,Punjab,73.34337205,31.4976792
BKP-250,Punjab,73.34335433,31.49522646
BKP-251,Punjab,73.34724695,32.01588595
BKP-252,Punjab,73.34582149,31.88903825
BKP-253,Punjab,73.35714475,30.76743323
BKP-254,Punjab,73.35534812,30.45064234
BKP-255,Punjab,73.30637041,30.95462065
BKP-256,Punjab,73.30999101,30.89751514
BKP-257,Punjab,73.30973849,32.35686118
BKP-258,Punjab,73.30791708,32.30786428
BKP-259,Punjab,73.30778711,31.35505853
BKP-260,Punjab,73.3050141,31.31766789
BKP-261,Punjab,73.30334208,33.12424037
BKP-262,Punjab,73.30384471,33.12073481
BKP-263,Punjab,73.30980553,31.49498776
BKP-264,Punjab,73.31279411,31.48516182
BKP-265,Punjab,73.30901302,31.48161933
BKP-266,Punjab,73.32341301,32.67898251
BKP-267,Punjab,73.32931866,33.14074659
BKP-268,Punjab,73.31806804,33.23869858
BKP-269,Punjab,73.31402562,33.29789755
BKP-270,Punjab,73.31416203,33.29762473
BKP-271,Punjab,73.31549808,33.2974152
BKP-272,Punjab,73.32242666,33.35830566
BKP-273,Punjab,73.31703152,33.43661471
BKP-274,Punjab,73.31940268,33.44524051
BKP-275,Punjab,73.32413288,31.1489368
BKP-276,Punjab,73.32509736,30.74394228
BKP-277,Punjab,73.40180899,32.41788993
BKP-278,Punjab,73.39817851,32.58426947
BKP-279,Punjab,73.33283285,33.28527373
BKP-280,Punjab,73.332486,33.28532114
BKP-281,Punjab,73.39598691,31.68661438
BKP-282,Punjab,73.40000723,31.74263788
BKP-283,Punjab,73.40309358,31.72256695
BKP-284,Punjab,73.40173114,32.06424616
BKP-285,Punjab,73.40291392,32.06253437
BKP-286,Punjab,73.39325703,32.06042333
BKP-287,Punjab,73.39360994,32.05891545
BKP-288,Punjab,73.39619697,31.32867204
BKP-289,Punjab,73.39895384,31.23332199
BKP-290,Punjab,73.3932375,31.42500978
BKP-291,Punjab,73.40496174,32.27854094
BKP-292,Punjab,73.40752028,30.88526724
BKP-293,Punjab,73.41257081,30.882389
BKP-294,Punjab,73.40331816,32.42598204
BKP-295,Punjab,73.40380789,32.57050993
BKP-296,Punjab,73.41144791,32.49525285
BKP-297,Punjab,73.40345291,33.28100922
BKP-298,Punjab,73.40825889,32.72598513
BKP-299,Punjab,73.40403681,32.71282481
BKP-300,Punjab,73.40709108,32.71282481
BKP-301,Punjab,73.37133813,33.40338971
BKP-302,Punjab,73.37090395,32.4681911
BKP-303,Punjab,73.37265218,32.46730793
BKP-304,Punjab,73.36453437,32.66660258
BKP-305,Punjab,73.37127705,32.66530932
BKP-306,Punjab,73.38364505,31.32635179
BKP-307,Punjab,73.38964879,31.33363387
BKP-308,Punjab,73.37744668,30.80122913
BKP-309,Punjab,73.37609921,30.83002162
BKP-310,Punjab,73.37645853,30.83018055
BKP-311,Punjab,73.3742765,31.0047435
BKP-312,Punjab,73.37545755,32.58052222
BKP-313,Punjab,73.21907369,33.3695382
BKP-314,Punjab,73.22028143,33.36832048
BKP-315,Punjab,73.21963065,33.36821767
BKP-316,Punjab,73.22010676,33.36837039
BKP-317,Punjab,73.22078049,33.36545086
BKP-318,Punjab,73.39247273,31.57075167
BKP-319,Punjab,73.38330614,32.07345707
BKP-320,Punjab,73.21797176,30.79064869
BKP-321,Punjab,73.38510546,32.0436505
BKP-322,Punjab,73.22468204,31.40616602
BKP-323,Punjab,73.22093374,32.54203658
BKP-324,Punjab,73.21840404,32.28201321
BKP-325,Punjab,73.22174618,32.52959095
BKP-326,Punjab,73.21997534,32.52705487
BKP-327,Punjab,73.2209362,32.526098
BKP-328,Punjab,73.21634476,32.64696494
BKP-329,Punjab,73.22359249,33.33475434
BKP-330,Punjab,73.23480319,31.0897757
BKP-331,Punjab,73.24039371,31.08506254
BKP-332,Punjab,73.24128454,30.59969531
BKP-333,Punjab,73.2349391,31.12461353
BKP-334,Punjab,73.18592586,33.43763049
BKP-335,Punjab,73.19034874,33.43434372
BKP-336,Punjab,73.18353185,33.43323773
BKP-337,Punjab,73.23605185,31.78477529
BKP-338,Punjab,73.18657311,33.42829262
BKP-339,Punjab,73.18774878,33.4268047
BKP-340,Punjab,73.18397793,33.42552688
BKP-341,Punjab,73.19213707,33.42468192
BKP-342,Punjab,73.18816348,33.42423743
BKP-343,Punjab,73.1846233,30.91188233
BKP-344,Punjab,73.18673434,32.95177667
BKP-345,Punjab,73.1890596,31.49650419
BKP-346,Punjab,73.18474058,31.49276044
BKP-347,Punjab,73.19190864,32.54940329
BKP-348,Punjab,73.18966285,32.54671733
BKP-349,Punjab,73.18845112,33.1296248
BKP-350,Punjab,73.19481918,30.53809334
BKP-351,Punjab,73.1957175,30.53665603
BKP-352,Punjab,73.20263452,31.41667777
BKP-353,Punjab,73.19713131,31.41450424
BKP-354,Punjab,73.19295839,30.70075471
BKP-355,Punjab,73.19172204,30.71123136
BKP-356,Punjab,73.19170502,30.74375929
BKP-357,Punjab,73.19131575,30.74376262
BKP-358,Punjab,73.19138633,30.60720266
BKP-359,Punjab,73.19187346,30.75597971
BKP-360,Punjab,73.19295411,30.75585993
