brickid,type,longitude,latitude
BKI-253,zigzag,76.27271251,28.81849312
BKI-254,zigzag,76.26393196,28.80095902
BKI-255,fcbk,76.32681332,29.02461551
BKI-256,fcbk,76.16395408,29.09987028
BKI-259,fcbk,83.8803346,25.89762204
BKI-261,fcbk,74.25329033,29.54938443
BKI-262,fcbk,74.25190225,29.54422828
BKI-263,fcbk,74.12231695,29.46160869
BKI-264,fcbk,74.2774455,29.554605
BKI-265,fcbk,74.26000607,29.55732204
BKI-266,fcbk,74.25652987,29.55625316
BKI-267,fcbk,74.27482896,29.55088682
BKI-268,fcbk,74.1102218,29.4726667
BKI-269,fcbk,74.27452476,29.53773005
BKI-270,fcbk,74.29238783,29.38322336
BKI-271,fcbk,74.18401143,29.54063525
BKI-272,fcbk,74.13903095,29.51705762
BKI-273,fcbk,74.11588425,29.47095249
BKI-274,fcbk,76.3927662,29.08118867
BKI-275,zigzag,76.44355559,29.14749067
BKI-276,fcbk,76.34093809,29.07308934
BKI-277,fcbk,76.38483924,29.09529374
BKI-278,fcbk,76.39165052,28.86144935
BKI-279,fcbk,76.42274796,29.14620488
BKI-280,fcbk,76.53437104,29.02713099
BKI-281,fcbk,76.46560739,29.04187238
BKI-282,fcbk,76.36962531,29.07638685
BKI-283,zigzag,76.26805739,28.81742869
BKI-284,zigzag,76.32973157,29.02465634
BKI-285,fcbk,74.05522968,29.46201309
BKI-286,fcbk,74.12189656,29.46603484
BKI-287,fcbk,74.17217312,29.4317427
BKI-288,fcbk,74.0036822,29.45939129
BKI-289,fcbk,74.26989799,29.55617353
BKI-290,fcbk,74.25596626,29.54065247
BKI-291,fcbk,74.0907088,29.52862887
BKI-292,fcbk,73.98349651,29.46848575
BKI-293,fcbk,74.10414859,29.47716906
BKI-294,fcbk,84.05772076,25.84230673
BKI-295,fcbk,83.84845391,25.89523589
BKI-296,fcbk,83.92011408,25.8239255
BKI-297,fcbk,74.28050791,29.55289764
BKI-298,fcbk,74.03649665,29.46384707
