id,iso3_count,original_i,temporal_g,gas,emissions_,emission_1,emission_2,capacity,capacity_u,activity,activity_u,source_nam,source_typ,lat,lon,other1,other2,other4,other5,other6,other7,other8,other9,other10,other1_def,other2_def,other4_def,other5_def,other6_def,other7_def,other8_def,other9_def,other10_de
17,IND,solid-waste-disposal,annual,co2,0,0,,0,m2,408731.47,T of waste,OpenStreetMap Landfill,,28.51897629,77.31985554,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
18,IND,solid-waste-disposal,annual,ch4,19679.83,0.048149,T of CO2 per T of waste,0,m2,408731.47,T of waste,OpenStreetMap Landfill,,28.51897629,77.31985554,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
19,IND,solid-waste-disposal,annual,n2o,0,0,,0,m2,408731.47,T of waste,OpenStreetMap Landfill,,28.51897629,77.31985554,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
20,IND,solid-waste-disposal,annual,co2e_100yr,551035.16,0,,0,m2,408731.47,T of waste,OpenStreetMap Landfill,,28.51897629,77.31985554,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
21,IND,solid-waste-disposal,annual,co2e_20yr,1653105.47,0,,0,m2,408731.47,T of waste,OpenStreetMap Landfill,,28.51897629,77.31985554,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
22,IND,solid-waste-disposal,annual,co2,0,0,,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
23,IND,solid-waste-disposal,annual,ch4,16958.8,0.050782,T of CO2 per T of waste,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
24,IND,solid-waste-disposal,annual,n2o,0,0,,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
25,IND,solid-waste-disposal,annual,co2e_100yr,474846.31,0,,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
26,IND,solid-waste-disposal,annual,co2e_20yr,1424538.93,0,,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
27,IND,solid-waste-disposal,annual,co2,0,0,,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
28,IND,solid-waste-disposal,annual,ch4,16958.8,0.050782,T of CO2 per T of waste,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
29,IND,solid-waste-disposal,annual,n2o,0,0,,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
30,IND,solid-waste-disposal,annual,co2e_100yr,474846.31,0,,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
31,IND,solid-waste-disposal,annual,co2e_20yr,1424538.93,0,,0,m2,333951.64,T of waste,OpenStreetMap Landfill,,28.5116934,77.28423244,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
32,IND,solid-waste-disposal,annual,co2,0,0,,0,m2,37082.22,T of waste,OpenStreetMap Landfill,,25.21651689,87.57223101,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
33,IND,solid-waste-disposal,annual,ch4,1915.3,0.05165,T of CO2 per T of waste,0,m2,37082.22,T of waste,OpenStreetMap Landfill,,25.21651689,87.57223101,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
