uid,city,state,country,region,sub_region,latitude,longitude,status,plant_type,production,capacity,capacity_s,year,owner_name
GACTIND0183,Jhajjar,Haryana,India,Asia,Southern Asia,28.505156,76.36704,Operating,Grinding,,0,,"0",UltraTech Cement Ltd
GACTIND0184,Panipat,Haryana,India,Asia,Southern Asia,29.289373,76.808284,Operating,Grinding,,0,,"0",UltraTech Cement Ltd
GACTIND0185,Kasimpur,Uttar Pradesh,India,Asia,Southern Asia,27.989507,78.136713,Operating,Grinding,,0,,"0",UltraTech Cement Ltd
GACTIND0186,Patti Karam Chand Mehraj,Punjab,India,Asia,Southern Asia,30.272417,75.162379,Operating,Grinding,,0,,"0",UltraTech Cement Ltd
GACTIND0188,Durgapur,West Bengal,India,Asia,Southern Asia,23.492432,87.362242,Operating,Grinding,,0,,"2001",UltraTech Cement Ltd
GACTIND0189,Salarpur Khadar,Uttar Pradesh,India,Asia,Southern Asia,28.578002,77.592701,Operating,Grinding,,0,,"0",UltraTech Cement Ltd
GACTIND0193,Patna,Bihar,India,Asia,Southern Asia,25.395551,85.292394,Operating,Grinding,,0,,"0",UltraTech Cement Ltd
GACTIND0194,Amarpur Qazi,Uttarakhand,India,Asia,Southern Asia,29.888977,77.812058,Operating,Grinding,,0,,"0",UltraTech Cement Ltd
GACTPAK0001,Jamshoro,Sindh,Pakistan,Asia,Southern Asia,25.315639,68.215568,Operating,Integrated,Dry,0.05,http://anwarzaib.com/,"1989",Anwarzaib White Cement Ltd
GACTPAK0002,Nowshera,Khyber Pakhtunkhwa,Pakistan,Asia,Southern Asia,33.802044,72.095823,Operating,Integrated,Dry,2.07,http://www.askaricement.com.pk/AclNizampur.html,"1996",Askari Cement Ltd
GACTIND0195,Greater Noida,Uttar Pradesh,India,Asia,Southern Asia,28.469413,77.666031,Operating,Grinding,,0,,"0",UltraTech Cement Ltd
GACTPAK0003,Wah,Punjab,Pakistan,Asia,Southern Asia,33.817001,72.721614,Operating,Integrated,Dry,1.34,http://www.askaricement.com.pk/AclWah.html,"1994",Askari Cement Ltd
GACTPAK0004,Chakwal,Punjab,Pakistan,Asia,Southern Asia,32.721675,72.924369,Operating,Integrated,Dry,3.43,https://www.bestway.com.pk/index.php/investor-information/#financialrpts,"2004",Bestway Cement Ltd
GACTPAK0005,Attock,Punjab,Pakistan,Asia,Southern Asia,33.829331,72.831164,Operating,Integrated,Dry,3,https://www.bestway.com.pk/index.php/investor-information/#financialrpts,"2005",Bestway Cement Ltd
GACTPAK0006,Haripur,Khyber Pakhtunkhwa,Pakistan,Asia,Southern Asia,33.849229,72.872128,Operating,Integrated,Dry,1.23,https://www.bestway.com.pk/index.php/investor-information/#financialrpts,"1995",Bestway Cement Ltd
GACTPAK0007,Chakwal,Punjab,Pakistan,Asia,Southern Asia,32.717428,72.775661,Operating,,,2.4942,https://www.bestway.com.pk/index.php/investor-information/#financialrpts,"2008",Bestway Cement Ltd
GACTPAK0008,Dera Ghazi Khan,Punjab,Pakistan,Asia,Southern Asia,30.327399,70.538435,Operating,Integrated,Dry,2.11,http://www.dgcement.com/plants.html#,"1986",D G Khan Cement Company Ltd
GACTPAK0009,Chakwal,Punjab,Pakistan,Asia,Southern Asia,32.725581,72.816963,Operating,Integrated,Dry,2.11,http://www.dgcement.com/plants.html#,"2007",D G Khan Cement Company Ltd
GACTPAK0010,Las Bela,Balochistan,Pakistan,Asia,Southern Asia,25.158018,66.784087,Operating,Integrated,Dry,2.84,http://www.dgcement.com/plants.html#,"0",D G Khan Cement Company Ltd
GACTPAK0011,Jhelum,Punjab,Pakistan,Asia,Southern Asia,32.644464,72.976899,Operating,Integrated,Dry,0.504,http://www.dandotcement.com/profile.html,"1983",Dandot Cement Company Ltd
GACTPAK0012,Haripur,Khyber Pakhtunkhwa,Pakistan,Asia,Southern Asia,33.856388,72.863033,Operating,Integrated,Dry,1.39,http://www.dewancement.com/The%20Plant.html,"0",Dewan Cement Ltd
GACTPAK0013,Karachi,Sindh,Pakistan,Asia,Southern Asia,24.909361,67.474854,Operating,Integrated,Dry,2.08,http://www.dewancement.com/The%20Plant.html,"1985",Dewan Cement Ltd
GACTPAK0014,Attock,Punjab,Pakistan,Asia,Southern Asia,33.690512,72.713367,Operating,Integrated,Dry,3.43,http://fccl.com.pk/,"1997",Fauji Cement Company Ltd
