id,name,lat,lon,type, fuel,region,country,status,capacity,emfpm10, pm10,emfpm25, pm25,emfso2, so2,emfnox, nox
CMI-32,UltraTech Cement Ltd,30.272417,75.162379,grinding,,Punjab,India,operating,0,69.2,0,22.4,0,,,,
CMI-33,UltraTech Cement Ltd,23.492432,87.362242,grinding,,West Bengal,India,operating,0,69.2,0,22.4,0,,,,
CMI-34,UltraTech Cement Ltd,28.578002,77.592701,grinding,,Uttar Pradesh,India,operating,0,69.2,0,22.4,0,,,,
CMI-35,UltraTech Cement Ltd,25.395551,85.292394,grinding,,Bihar,India,operating,0,69.2,0,22.4,0,,,,
CMI-36,UltraTech Cement Ltd,29.888977,77.812058,grinding,,Uttarakhand,India,operating,0,69.2,0,22.4,0,,,,
CMI-37,Anwarzaib White Cement Ltd,25.315639,68.215568,integrated,,Sindh,Pakistan,operating,0.05,69.2,3460,22.4,1120,,,,
CMI-38,Askari Cement Ltd,33.802044,72.095823,integrated,,Khyber Pakhtunkhwa,Pakistan,operating,2.07,69.2,143244,22.4,46368,,,,
CMI-39,UltraTech Cement Ltd,28.469413,77.666031,grinding,,Uttar Pradesh,India,operating,0,69.2,0,22.4,0,,,,
CMP-1,Askari Cement Ltd,33.817001,72.721614,integrated,,Punjab,Pakistan,operating,1.34,69.2,92728,22.4,30016,,,,
CMP-2,Bestway Cement Ltd,32.721675,72.924369,integrated,,Punjab,Pakistan,operating,3.43,69.2,237356,22.4,76832,,,,
CMP-3,Bestway Cement Ltd,33.829331,72.831164,integrated,,Punjab,Pakistan,operating,3,69.2,207600,22.4,67200,,,,
CMP-4,Bestway Cement Ltd,33.849229,72.872128,integrated,,Khyber Pakhtunkhwa,Pakistan,operating,1.23,69.2,85116,22.4,27552,,,,
CMP-5,Bestway Cement Ltd,32.717428,72.775661,integrated,,Punjab,Pakistan,operating,2.4942,69.2,172598.64,22.4,55870.08,,,,
CMP-6,D G Khan Cement Company Ltd,30.327399,70.538435,integrated,,Punjab,Pakistan,operating,2.11,69.2,146012,22.4,47264,,,,
CMP-7,D G Khan Cement Company Ltd,32.725581,72.816963,integrated,,Punjab,Pakistan,operating,2.11,69.2,146012,22.4,47264,,,,
CMP-8,D G Khan Cement Company Ltd,25.158018,66.784087,integrated,,Balochistan,Pakistan,operating,2.84,69.2,196528,22.4,63616,,,,
CMP-9,Dandot Cement Company Ltd,32.644464,72.976899,integrated,,Punjab,Pakistan,operating,0.504,69.2,34876.8,22.4,11289.6,,,,
CMP-10,Dewan Cement Ltd,33.856388,72.863033,integrated,,Khyber Pakhtunkhwa,Pakistan,operating,1.39,69.2,96188,22.4,31136,,,,
CMP-11,Dewan Cement Ltd,24.909361,67.474854,integrated,,Sindh,Pakistan,operating,2.08,69.2,143936,22.4,46592,,,,
CMP-12,Fauji Cement Company Ltd,33.690512,72.713367,integrated,,Punjab,Pakistan,operating,3.43,69.2,237356,22.4,76832,,,,
CMP-13,Fecto Cement Ltd,33.693119,72.859164,integrated,,Islamabad Capital Territory,Pakistan,operating,0.9,69.2,62280,22.4,20160,,,,
CMP-14,Flying Cement Co Ltd,32.574803,72.565983,integrated,,Punjab,Pakistan,operating,0.6,69.2,41520,22.4,13440,,,,
CMP-15,Gharibwal Cement Ltd,32.726458,73.142329,integrated,,Punjab,Pakistan,operating,2.45,69.2,169540,22.4,54880,,,,
CMP-16,Cherat Cement Company Ltd,33.905264,71.91052,integrated,,Khyber Pakhtunkhwa,Pakistan,operating,4.5,69.2,311400,22.4,100800,,,,
CMP-17,Kohat Cement Company Ltd,33.548053,71.549005,integrated,,Khyber Pakhtunkhwa,Pakistan,operating,2.95,69.2,204140,22.4,66080,,,,
CMP-18,Maple Leaf Cement Factory Ltd,32.907938,71.590321,integrated,,Punjab,Pakistan,operating,4.38,69.2,303096,22.4,98112,,,,
CMP-19,Lucky Cement Ltd,25.053071,67.494014,integrated,,Sindh,Pakistan,operating,8,69.2,553600,22.4,179200,,,,
CMP-20,Dadabhoy Cement Industries Ltd,25.15328,67.672503,integrated,,Sindh,Pakistan,operating,1.02,69.2,70584,22.4,22848,,,,
CMP-21,Attock Cement Pakistan Ltd,25.139196,66.914996,integrated,,Balochistan,Pakistan,operating,3,69.2,207600,22.4,67200,,,,
CMP-22,Pioneer Cement Ltd,32.387991,72.14237,integrated,,Punjab,Pakistan,operating,1.3,69.2,89960,22.4,29120,,,,
CMP-23,Power Cement Ltd,25.154011,67.703129,integrated,,Sindh,Pakistan,operating,0.6,69.2,41520,22.4,13440,,,,
CMP-24,Rohri Cement Factory Pvt Ltd,27.669985,68.891452,integrated,,Sindh,Pakistan,operating,1.8,69.2,124560,22.4,40320,,,,
CMP-25,Thatta Cement Company Ltd,24.648057,67.843569,integrated,,Sindh,Pakistan,operating,0.675,69.2,46710,22.4,15120,,,,
CMP-26,Zeal Pak Cement Factory Ltd,25.34692,68.396246,integrated,,Sindh,Pakistan,operating,0.576,69.2,39859.2,22.4,12902.4,,,,
CMP-27,,24.44605,83.075826,integrated,,Uttar Pradesh,India,operating,1.59,69.2,110028,22.4,35616,,,,
CMP-28,,24.63924,83.101967,integrated,,Uttar Pradesh,India,operating,0,69.2,0,22.4,0,,,,
CMP-29,,25.087704,82.902584,grinding,,Uttar Pradesh,India,operating,0,69.2,0,22.4,0,,,,
CMP-30,,25.229553,81.781506,grinding,,Uttar Pradesh,India,operating,0,69.2,0,22.4,0,,,,
CMP-31,,22.392435,87.015888,grinding,,West Bengal,India,operating,0,69.2,0,22.4,0,,,,
CMP-32,,27.960795,78.08159,grinding,,Uttar Pradesh,India,operating,0,69.2,0,22.4,0,,,,
CMP-33,,23.718837,86.954305,grinding,,West Bengal,India,operating,0,69.2,0,22.4,0,,,,
