GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,OBJECTID,Join_Count,TARGET_FID,id,lat,lon,type,state,schools1km,hosp1km,pop1km,Shape_Length,Shape_Area
PAK.2.6.2_1,PAK,Pakistan,PAK.2_1,Balochistan,NA,PAK.2.6_1,Zhob,NA,Loralai,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.2.6.3_1,PAK,Pakistan,PAK.2_1,Balochistan,NA,PAK.2.6_1,Zhob,NA,Musakhel,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.2.6.4_1,PAK,Pakistan,PAK.2_1,Balochistan,NA,PAK.2.6_1,Zhob,NA,Qilla Saifullah,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.2.6.5_1,PAK,Pakistan,PAK.2_1,Balochistan,NA,PAK.2.6_1,Zhob,NA,Zhob,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.3.1.1_1,PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,F.A.T.A.,PAK.3.1_1,F.A.T.A.,NA,Bajaur,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.3.1.2_1,PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,F.A.T.A.,PAK.3.1_1,F.A.T.A.,NA,Khyber,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.3.1.3_1,PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,F.A.T.A.,PAK.3.1_1,F.A.T.A.,NA,Kurram,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.3.1.4_1,PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,F.A.T.A.,PAK.3.1_1,F.A.T.A.,NA,Largha Shirani,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.3.1.5_1,PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,F.A.T.A.,PAK.3.1_1,F.A.T.A.,NA,Mohmand,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.3.1.6_1,PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,F.A.T.A.,PAK.3.1_1,F.A.T.A.,NA,N. Waziristan,North Waziristan,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.3.1.7_1,PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,F.A.T.A.,PAK.3.1_1,F.A.T.A.,NA,Orakzai,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.3.1.8_1,PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,F.A.T.A.,PAK.3.1_1,F.A.T.A.,NA,S. Waziristan,South Waziristan,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.6.1.1_1,Z06,Pakistan,Z06.6_1,Gilgit-Baltistan,NA,Z06.6.1_1,Northern Areas,NA,Chilas,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.6.1.2_1,Z06,Pakistan,Z06.6_1,Gilgit-Baltistan,NA,Z06.6.1_1,Northern Areas,NA,Gilgit,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.6.1.3_1,Z06,Pakistan,Z06.6_1,Gilgit-Baltistan,NA,Z06.6.1_1,Northern Areas,NA,Gilgit (Tribal Territory),NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.6.1.4_1,Z06,Pakistan,Z06.6_1,Gilgit-Baltistan,NA,Z06.6.1_1,Northern Areas,NA,Kargil,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.6.1.5_1,Z06,Pakistan,Z06.6_1,Gilgit-Baltistan,NA,Z06.6.1_1,Northern Areas,NA,Kupwara (Gilgit Wazarat),NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.6.1.6_1,Z06,Pakistan,Z06.6_1,Gilgit-Baltistan,NA,Z06.6.1_1,Northern Areas,NA,Ladakh (Leh),NA,NA,District,District,NA,NA,,,,,,,,,,,,,
