VALUE,ZONE_CODE,COUNT,AREA,SUM
Amtali,1,636.000000000000000,0.044166666666666,302553.000000000000000
Bamna,2,108.000000000000000,0.007500000000000,89920.000000000000000
Barguna Sadar,3,400.000000000000000,0.027777777777778,293248.000000000000000
Betagi,4,190.000000000000000,0.013194444444444,129250.000000000000000
Patharghata,5,313.000000000000000,0.021736111111111,183655.000000000000000
Agailjhara,6,205.000000000000000,0.014236111111111,167111.000000000000000
Babuganj,7,201.000000000000000,0.013958333333333,160395.000000000000000
Bakerganj,8,451.000000000000000,0.031319444444444,351219.000000000000000
Banari Para,9,169.000000000000000,0.011736111111111,166639.000000000000000
Barisal Sadar (Kotwali),10,352.000000000000000,0.024444444444444,598125.000000000000000
Gaurnadi,11,189.000000000000000,0.013125000000000,221843.000000000000000
Hizla,12,297.000000000000000,0.020625000000000,158280.000000000000000
Mehendiganj,13,386.000000000000000,0.026805555555555,332374.000000000000000
Muladi,14,286.000000000000000,0.019861111111111,201238.000000000000000
Wazirpur,15,315.000000000000000,0.021875000000000,274414.000000000000000
Bhola Sadar,16,385.000000000000000,0.026736111111111,478434.000000000000000
Burhanuddin,17,306.000000000000000,0.021250000000000,267841.000000000000000
Char Fasson,18,779.000000000000000,0.054097222222222,515070.000000000000000
Daulatkhan,19,131.000000000000000,0.009097222222222,200363.000000000000000
Lalmohan,20,338.000000000000000,0.023472222222222,330998.000000000000000
Manpura,21,187.000000000000000,0.012986111111111,86522.000000000000000
Tazumuddin,22,180.000000000000000,0.012500000000000,135671.000000000000000
Jhalokati Sadar,23,247.000000000000000,0.017152777777778,258030.000000000000000
Kanthalia,24,190.000000000000000,0.013194444444444,142004.000000000000000
Nalchity,25,272.000000000000000,0.018888888888889,204536.000000000000000
Rajapur,26,195.000000000000000,0.013541666666667,168890.000000000000000
Bauphal,27,525.000000000000000,0.036458333333333,352126.000000000000000
Dashmina,28,281.000000000000000,0.019513888888889,141059.000000000000000
Dumki,29,96.000000000000000,0.006666666666667,81375.000000000000000
Galachipa,30,1042.000000000000000,0.072361111111111,402838.000000000000000
Kala Para,31,554.000000000000000,0.038472222222222,267493.000000000000000
Mirzaganj,32,201.000000000000000,0.013958333333333,142886.000000000000000
Patuakhali Sadar,33,448.000000000000000,0.031111111111111,359650.000000000000000
Bhandaria,34,190.000000000000000,0.013194444444444,169450.000000000000000
Kawkhali,35,100.000000000000000,0.006944444444444,79962.000000000000000
Mathbaria,36,418.000000000000000,0.029027777777778,303706.000000000000000
Nazirpur,37,289.000000000000000,0.020069444444444,207976.000000000000000
Nesarabad (Swarupkati),38,234.000000000000000,0.016250000000000,242059.000000000000000
Pirojpur Sadar,39,206.000000000000000,0.014305555555555,186656.000000000000000
Zianagar,40,117.000000000000000,0.008125000000000,88323.000000000000000
Ashuganj,41,44.000000000000000,0.003055555555556,0.000000000000000
Banchharampur,42,262.000000000000000,0.018194444444444,0.000000000000000
Nabinagar,43,322.000000000000000,0.022361111111111,0.000000000000000
Sarail,44,15.000000000000000,0.001041666666667,0.000000000000000
Chandpur Sadar,45,342.000000000000000,0.023750000000000,148.000000000000000
Faridganj,46,302.000000000000000,0.020972222222222,0.000000000000000
Haim Char,47,77.000000000000000,0.005347222222222,0.000000000000000
Hajiganj,48,242.000000000000000,0.016805555555555,0.000000000000000
Kachua,49,448.000000000000000,0.031111111111111,115244.000000000000000
Matlab Dakshin,50,167.000000000000000,0.011597222222222,0.000000000000000
Matlab Uttar,51,355.000000000000000,0.024652777777778,184.000000000000000
Shahrasti,52,196.000000000000000,0.013611111111111,0.000000000000000
Barura,53,94.000000000000000,0.006527777777778,0.000000000000000
Chandina,54,237.000000000000000,0.016458333333333,0.000000000000000
Daudkandi,55,268.000000000000000,0.018611111111111,2940.000000000000000
Debidwar,56,190.000000000000000,0.013194444444444,0.000000000000000
Homna,57,163.000000000000000,0.011319444444444,0.000000000000000
Manoharganj,58,20.000000000000000,0.001388888888889,0.000000000000000
Meghna,59,133.000000000000000,0.009236111111111,2953.000000000000000
Muradnagar,60,387.000000000000000,0.026875000000000,0.000000000000000
Titas,61,138.000000000000000,0.009583333333333,0.000000000000000
Kamalnagar,62,286.000000000000000,0.019861111111111,0.000000000000000
Lakshmipur Sadar,63,572.000000000000000,0.039722222222222,0.000000000000000
Ramganj,64,227.000000000000000,0.015763888888889,0.000000000000000
Ramgati,65,256.000000000000000,0.017777777777778,0.000000000000000
Roypur,66,249.000000000000000,0.017291666666667,0.000000000000000
Begumganj,67,36.000000000000000,0.002500000000000,0.000000000000000
Chatkhil,68,171.000000000000000,0.011875000000000,0.000000000000000
Hatiya,69,79.000000000000000,0.005486111111111,0.000000000000000
Noakhali Sadar (Sudharam),70,137.000000000000000,0.009513888888889,0.000000000000000
Sonaimuri,71,23.000000000000000,0.001597222222222,0.000000000000000
Subarnachar,72,37.000000000000000,0.002569444444444,0.000000000000000
Adabor,73,3.000000000000000,0.000208333333333,233320.000000000000000
Badda,74,47.000000000000000,0.003263888888889,799419.000000000000000
Bangshal,75,2.000000000000000,0.000138888888889,146997.000000000000000
Biman Bandar,76,10.000000000000000,0.000694444444444,33113.000000000000000
Cantonment,77,15.000000000000000,0.001041666666667,168037.000000000000000
Chak Bazar,78,3.000000000000000,0.000208333333333,312467.000000000000000
Dakshinkhan,79,9.000000000000000,0.000625000000000,197458.000000000000000
Darus Salam,80,4.000000000000000,0.000277777777778,182021.000000000000000
Demra,81,28.000000000000000,0.001944444444444,319381.000000000000000
Dhamrai,82,384.000000000000000,0.026666666666666,469765.000000000000000
Dhanmondi,83,5.000000000000000,0.000347222222222,178539.000000000000000
Dohar,84,187.000000000000000,0.012986111111111,262886.000000000000000
Gendaria,85,2.000000000000000,0.000138888888889,119928.000000000000000
Gulshan,86,10.000000000000000,0.000694444444444,311010.000000000000000
Hazaribagh,87,7.000000000000000,0.000486111111111,225430.000000000000000
Jatrabari,88,16.000000000000000,0.001111111111111,570968.000000000000000
Kadamtali,89,12.000000000000000,0.000833333333333,417448.000000000000000
Kafrul,90,12.000000000000000,0.000833333333333,441684.000000000000000
Kalabagan,91,1.000000000000000,0.000069444444444,133556.000000000000000
Kamrangir Char,92,2.000000000000000,0.000138888888889,39429.000000000000000
Keraniganj,93,244.000000000000000,0.016944444444444,941049.000000000000000
Khilgaon,94,19.000000000000000,0.001319444444444,417729.000000000000000
Khilkhet,95,22.000000000000000,0.001527777777778,137188.000000000000000
Kotwali,96,551.000000000000000,0.038263888888889,850954.000000000000000
Lalbagh,97,7.000000000000000,0.000486111111111,490755.000000000000000
Mirpur,98,409.000000000000000,0.028402777777778,864406.000000000000000
