id,name,lat,lon,type,fuel,region,country,status,capacity_tonnes,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr,source
49,Yak Brewing Company Pvt. Ltd.,27.877658,84.621469,,,"Ichchhakamana-4, Kurintar Nepal",Nepal,,,,,,,,,,,
50,MILAN DAIRY & FOODS INDUSTRY PVT LTD,26.581189,86.740962,,,"GAGENDRA NARAYAN SINGH INDUSTRIAL ESTATE , BASBITTI , SAPTARI.",Nepal,,,,,,,,,,,
51,Tulasa Dairy Pvt. Ltd.,27.705192,85.393624,,,"Kageshwori, Manohara-7 Kathmandu",Nepal,,,,,,,,,,,
52,Baglung Dugdh Utpadak Sahakari Sanstha Sang,28.279633,83.585773,,,"Baglung Municipality-2, Baglung",Nepal,,,,,,,,,,,
53,Siddhartha Pellet Feed Pvt. Ltd,27.429071,85.033236,,,"Hetauda Industrial Area ,Hetauda",Nepal,,,,,,,,,,,
54,Koshi Feeds Pvt. Ltd.,26.685086,87.171425,,,Ramdhuni-5 Jhumka Sunsari,Nepal,,,,,,,,,,,
55,Om Agro Pvt.Ltd,27.471369,84.902458,,,Newarpani Hetauda,Nepal,,,,,,,,,,,
56,Surkhet Dairy Udhyog Pvt. Ltd.,28.5779,81.6386,,,"Birendranagar-12, Airport Road",Nepal,,,,,,,,,,,
57,Pashupati Khadya Tel Udyog Pvt. Ltd.,26.595358,87.276327,,,"Duhabi-8, Sonapur, Sunsari",Nepal,,,,,,,,,,,
58,Shiva Baba Textile Pvt. Ltd.,27.67446,85.42886,,,"Byasi, Bhaktapur",Nepal,,,,,,,,,,,
