id,name,lat,lon,type, fuel,region,country,status,capacity_power,prod_kw,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr
CI-26,Deenbandhu Chhotu Ram Thermal Power Plant,30.10541,77.32697,coal plant,coal,Haryana,India,"operating, operating","300, 300",5256000000,0.00037,1944.72,0.00019,998.64,0.0072,37843.2,0.0043,22600.8
CI-27,Durgapur Projects Limited power station,23.52115,87.30231,coal plant,coal,West Bengal,India,"operating, operating","300, 250",4818000000,0.00037,1782.66,0.00019,915.42,0.0072,34689.6,0.0043,20717.4
CI-28,Durgapur SAIL power station,23.55181,87.24848,captive power plant,coal,West Bengal,India,"operating, operating","60, 60",1051200000,0.00037,388.944,0.00019,199.728,0.0072,7568.64,0.0043,4520.16
CI-29,Durgapur Steel City Andal power station,23.58,87.2043,captive power plant,coal,West Bengal,India,"operating, operating","500, 500",8760000000,0.00037,3241.2,0.00019,1664.4,0.0072,63072,0.0043,37668
CI-30,Farakka power station,24.77273,87.89371,coal plant,coal,West Bengal,India,"operating, operating, operating, operating, operating, operating","200, 200, 200, 500, 500, 500",18396000000,0.00037,6806.52,0.00019,3495.24,0.0072,132451.2,0.0043,79102.8
CI-31,Feroze Gandhi Unchahar Power Station,25.91376,81.32724,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 210, 500",13578000000,0.00037,5023.86,0.00019,2579.82,0.0072,97761.6,0.0043,58385.4
CI-32,Ghatampur power station,25.975,80.1889,coal plant,coal,Uttar Pradesh,India,"construction, construction, construction","660, 660, 660",17344800000,0.00037,6417.576,0.00019,3295.512,0.0072,124882.56,0.0043,74582.64
CI-33,Guru Hargobind Lehra Mohabbat Power Station,30.26656,75.1661,coal plant,coal,Punjab,India,"operating, operating, operating, operating","210, 210, 250, 250",8059200000,0.00037,2981.904,0.00019,1531.248,0.0072,58026.24,0.0043,34654.56
CI-34,Guru Nanak Dev Thermal Power Station (GNDTP) Stage I,28.4850914,76.3731605,coal plant,coal,Haryana,India,"operating, operating, operating, operating","110, 110, 110, 120",3942000000,0.00037,1458.54,0.00019,748.98,0.0072,28382.4,0.0043,16950.6
CI-35,Haldia Energy power station,22.06046,88.10975,coal plant,coal,West Bengal,India,"operating, operating","600, 600",10512000000,0.00037,3889.44,0.00019,1997.28,0.0072,75686.4,0.0043,45201.6
CI-36,Haldia India Power,25.2369032,87.2655952,captive power plant,coal,Bihar,India,"construction, construction, construction","150, 150, 150",3942000000,0.00037,1458.54,0.00019,748.98,0.0072,28382.4,0.0043,16950.6
CI-37,Harduaganj power station,28.0175,78.13,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, pre-permit","660, 110, 250, 250, 660",16906800000,0.00037,6255.516,0.00019,3212.292,0.0072,121728.96,0.0043,72699.24
CI-38,Hiranmaye Haldia power station,22.07699,88.09841,coal plant,coal,West Bengal,India,"operating, operating","150, 150",2628000000,0.00037,972.36,0.00019,499.32,0.0072,18921.6,0.0043,11300.4
CI-39,Indira Gandhi Super Thermal Power Project,28.48509,76.37316,coal plant,coal,Haryana,India,"operating, operating, operating","500, 500, 500",13140000000,0.00037,4861.8,0.00019,2496.6,0.0072,94608,0.0043,56502
CI-40,Jawaharpur Thermal Project,27.4971,78.82607,coal plant,coal,Uttar Pradesh,India,"construction, construction","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CI-41,Kahalgaon Super Thermal Power Plant,25.2369,87.2656,coal plant,coal,Bihar,India,"operating, operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 500, 500, 500",20498400000,0.00037,7584.408,0.00019,3894.696,0.0072,147588.48,0.0043,88143.12
CI-42,Kanoria Captive Power Plant,27.03,82.23,captive power plant,coal,Uttar Pradesh,India,operating,50,438000000,0.00037,162.06,0.00019,83.22,0.0072,3153.6,0.0043,1883.4
CI-43,Katwa Thermal Power Station,28.488143,76.352534,coal plant,coal,Haryana,India,"pre-permit, pre-permit","800, 800",14016000000,0.00037,5185.92,0.00019,2663.04,0.0072,100915.2,0.0043,60268.8
CI-44,Khamberkhera IPP power station,27.9,80.8,coal plant,coal,Uttar Pradesh,India,"operating, operating","45, 45",788400000,0.00037,291.708,0.00019,149.796,0.0072,5676.48,0.0043,3390.12
CI-45,Khurja power station,28.15833,77.90833,coal plant,coal,Uttar Pradesh,India,"construction, construction","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CI-46,Kolaghat Thermal Power Station,22.41657,87.87098,coal plant,coal,West Bengal,India,"operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 210, 210",11037600000,0.00037,4083.912,0.00019,2097.144,0.0072,79470.72,0.0043,47461.68
CI-47,Kundarki Ipp power station,27.03,82.23,coal plant,coal,Uttar Pradesh,India,"operating, operating","45, 45",788400000,0.00037,291.708,0.00019,149.796,0.0072,5676.48,0.0043,3390.12
CI-48,Mahatma Gandhi power station,28.48814,76.35253,coal plant,coal,Haryana,India,"operating, operating","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CI-49,Maqsoodpur power station,27.81,79.94,coal plant,coal,Uttar Pradesh,India,"operating, operating","45, 45",788400000,0.00037,291.708,0.00019,149.796,0.0072,5676.48,0.0043,3390.12
CI-50,Meja Thermal Power Project,25.14587,81.9401,coal plant,coal,Uttar Pradesh,India,"operating, operating","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CI-51,Mejia power station,23.4639,87.1311,coal plant,coal,West Bengal,India,"operating, operating, operating, operating, operating, operating, operating, operating","500, 500, 210, 210, 210, 210, 250, 250",20498400000,0.00037,7584.408,0.00019,3894.696,0.0072,147588.48,0.0043,88143.12
CI-52,Muzaffarpur power station,26.19477,85.3033,coal plant,coal,Bihar,India,"construction, construction, operating, operating","195, 195, 110, 110",5343600000,0.00037,1977.132,0.00019,1015.284,0.0072,38473.92,0.0043,22977.48
CI-53,Nabinagar Super Thermal Power Project,24.776,84.15803,coal plant,coal,Bihar,India,"operating, operating, operating","660, 660, 660",17344800000,0.00037,6417.576,0.00019,3295.512,0.0072,124882.56,0.0043,74582.64
CI-54,Nabinagar Thermal Power Project,24.70508,84.08874,coal plant,coal,Bihar,India,"operating, operating, operating, operating","250, 250, 250, 250",8760000000,0.00037,3241.2,0.00019,1664.4,0.0072,63072,0.0043,37668
CI-55,National Capital Dadri Thermal Power Plant,28.603,77.6078,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 490, 490",15943200000,0.00037,5898.984,0.00019,3029.208,0.0072,114791.04,0.0043,68555.76
CI-56,Obra Thermal Power Station,24.4445,82.98,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, construction, construction, operating","200, 200, 200, 200, 660, 660, 200",20323200000,0.00037,7519.584,0.00019,3861.408,0.0072,146327.04,0.0043,87389.76
CI-57,Panipat power station,29.39751,76.87632,coal plant,coal,Haryana,India,"operating, operating, operating, operating, operating, operating, operating, operating","110, 110, 110, 110, 210, 210, 250, 250",11913600000,0.00037,4408.032,0.00019,2263.584,0.0072,85777.92,0.0043,51228.48
CI-58,Panki Thermal Power Station,26.4766,80.241,coal plant,coal,Uttar Pradesh,India,"construction, operating, operating","660, 105, 105",7621200000,0.00037,2819.844,0.00019,1448.028,0.0072,54872.64,0.0043,32771.16
CI-59,Rajghat Power Station,27.8194455,79.9371618,coal plant,coal,Uttar Pradesh,India,"operating, operating","67.5, 67.5",1182600000,0.00037,437.562,0.00019,224.694,0.0072,8514.72,0.0043,5085.18
CI-60,Rajiv Gandhi Thermal Power Project,29.34698,75.85754,coal plant,coal,Haryana,India,"operating, operating","600, 600",10512000000,0.00037,3889.44,0.00019,1997.28,0.0072,75686.4,0.0043,45201.6
CI-61,Rajpura Thermal Power Project,30.55896,76.57759,coal plant,coal,Punjab,India,"operating, operating","700, 700",12264000000,0.00037,4537.68,0.00019,2330.16,0.0072,88300.8,0.0043,52735.2
CI-62,Renusagar power station,24.18109,82.79128,captive power plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating, operating, operating, operating, operating, operating","67.5, 75, 67.5, 74, 74, 68, 74, 74, 76.7, 75",6357132000,0.00037,2352.13884,0.00019,1207.85508,0.0072,45771.3504,0.0043,27335.6676
CI-63,Rihand power station,24.027,82.7915,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating, operating","500, 500, 500, 500, 500, 500",26280000000,0.00037,9723.6,0.00019,4993.2,0.0072,189216,0.0043,113004
CI-64,Rosa Thermal Power Plant,27.81945,79.93716,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating","300, 300, 300, 300",10512000000,0.00037,3889.44,0.00019,1997.28,0.0072,75686.4,0.0043,45201.6
CI-65,Sagardighi Thermal Power Station,24.36881,88.104,coal plant,coal,West Bengal,India,"operating, operating, operating, operating, construction","300, 300, 500, 500, 660",19797600000,0.00037,7325.112,0.00019,3761.544,0.0072,142542.72,0.0043,85129.68
CI-66,Singrauli Super Thermal Power Station,24.10421,82.70636,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating, operating, operating, permitted, permitted","200, 200, 200, 200, 200, 500, 500, 800, 800",31536000000,0.00037,11668.32,0.00019,5991.84,0.0072,227059.2,0.0043,135604.8
CI-67,Southern CESC power station,22.54959,88.29151,coal plant,coal,West Bengal,India,"operating, operating","67.5, 67.5",1182600000,0.00037,437.562,0.00019,224.694,0.0072,8514.72,0.0043,5085.18
CI-68,Suratgarh Super Thermal Power Station,29.16112,74.01916,coal plant,coal,Rajasthan,India,"operating, operating, operating, operating, operating, operating, operating, operating","250, 250, 250, 250, 250, 250, 660, 660",24703200000,0.00037,9140.184,0.00019,4693.608,0.0072,177863.04,0.0043,106223.76
CI-69,Talwandi Sabo Power Project,29.92458,75.23893,coal plant,coal,Punjab,India,"operating, operating, operating","660, 660, 660",17344800000,0.00037,6417.576,0.00019,3295.512,0.0072,124882.56,0.0043,74582.64
CI-70,Tanda power station,26.58948,82.60124,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating, operating","660, 660, 110, 110, 110, 110",15417600000,0.00037,5704.512,0.00019,2929.344,0.0072,111006.72,0.0043,66295.68
CI-71,The Durgapur Projects Limited,23.52136612,87.31004771,coal plant,coal,West Bengal,India,"operating, operating, operating, operating, operating, operating, operating, operating","250, 110, 30, 30, 77, 77, 77, 300",8330760000,0.00037,3082.3812,0.00019,1582.8444,0.0072,59981.472,0.0043,35822.268
CI-72,Titagarh power station,22.73197,88.37031,coal plant,coal,West Bengal,India,"operating, operating, operating, operating","60, 60, 60, 60",2102400000,0.00037,777.888,0.00019,399.456,0.0072,15137.28,0.0043,9040.32
CI-73,Utraula power station,27.43,82.18,coal plant,coal,Uttar Pradesh,India,"operating, operating","45, 45",788400000,0.00037,291.708,0.00019,149.796,0.0072,5676.48,0.0043,3390.12
CI-74,Welspun Energy Mirzapur power station,24.8016992,84.59662018,captive power plant,coal,Bihar,India,"permitted, permitted","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CI-75,Goindwal Sahib Thermal Power Plant,31.38414,75.1465,coal plant,coal,Punjab,India,operating,300,2628000000,0.00037,972.36,0.00019,499.32,0.0072,18921.6,0.0043,11300.4
CI-76,Hasdeo Thermal Power Station (The Durgapur Projects Ltd),23.52115,87.30231,coal plant,coal,West Bengal,India,"operating, operating","300, 300",5256000000,0.00037,1944.72,0.00019,998.64,0.0072,37843.2,0.0043,22600.8
CI-77,Jharsuguda CPP power station (Neyveli Uttar Pradesh Power Ltd),25.975,80.1889,captive power plant,coal,Uttar Pradesh,India,"construction, construction","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CI-78,Jharsuguda CPP power station (GVK Energy Ltd),31.38414,75.1465,captive power plant,coal,Punjab,India,"operating, operating","270, 270",4730400000,0.00037,1750.248,0.00019,898.776,0.0072,34058.88,0.0043,20340.72
CI-79,Jojobera Power Plant (Haldia Energy Ltd),22.06046,88.10975,captive power plant,coal,West Bengal,India,"operating, operating","300, 300",5256000000,0.00037,1944.72,0.00019,998.64,0.0072,37843.2,0.0043,22600.8
CI-80,Jojobera Power Plant (Uttar Pradesh Rajya Vidyut Utpadan Nigam Ltd),28.0175,78.13,captive power plant,coal,Uttar Pradesh,India,"operating, operating, operating","660,110, 250",8935200000,0.00037,3306.024,0.00019,1697.688,0.0072,64333.44,0.0043,38421.36
CI-81,Lalitpur power project (The West Bengal Power Development Corp Ltd),22.41657,87.87098,coal plant,coal,West Bengal,India,operating,210210210,1.84144E+15,0.00037,681333332.7,0.00019,349873873.5,0.0072,13258378365,0.0043,7918198190
CI-82,Mirzapur power station,25.13658,82.5622,coal plant,coal,Uttar Pradesh,India,operating,45,394200000,0.00037,145.854,0.00019,74.898,0.0072,2838.24,0.0043,1695.06
CI-83,Sabarmati power station (NTPC Ltd),24.10538243,82.7063862,coal plant,coal,Uttar Pradesh,India,"operating, operating","500, 500",8760000000,0.00037,3241.2,0.00019,1664.4,0.0072,63072,0.0043,37668
CP-1,Dera Ghazi Khan Cement power station,30.33167,70.5394,captive power plant,coal,Punjab,Pakistan,operating,30,262800000,0.00037,97.236,0.00019,49.932,0.0072,1892.16,0.0043,1130.04
CP-2,Fauji Fertilizer power station,24.83309,67.41962,captive power plant,coal,Sindh,Pakistan,operating,118,1033680000,0.00037,382.4616,0.00019,196.3992,0.0072,7442.496,0.0043,4444.824
CP-3,Hub Cement power station,25.15589,66.78361,captive power plant,coal,Balochistan,Pakistan,operating,30,262800000,0.00037,97.236,0.00019,49.932,0.0072,1892.16,0.0043,1130.04
CP-4,Hubco power station,24.914675,66.68876,coal plant,coal,Balochistan,Pakistan,"operating, operating","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CP-5,Jamshoro power station,25.472222,68.266111,coal plant,coal,Sindh,Pakistan,"construction, permitted","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CP-6,Keti Bandar power station,24.15,67.45,coal plant,coal,Sindh,Pakistan,"pre-permit, pre-permit","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CP-7,Muzaffargarh sugar mill power station,30.29455,70.96697,coal plant,coal,Punjab,Pakistan,"operating, operating","60, 60",1051200000,0.00037,388.944,0.00019,199.728,0.0072,7568.64,0.0043,4520.16
CP-8,Port Qasim EPC power station,24.7845,67.36939,coal plant,coal,Sindh,Pakistan,"operating, operating","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CP-9,Port Qasim Lucky power station,24.8128054,67.2745601,coal plant,coal,Sindh,Pakistan,operating,660,5781600000,0.00037,2139.192,0.00019,1098.504,0.0072,41627.52,0.0043,24860.88
CP-10,Sahiwal power station,30.71422,73.23802,coal plant,coal,Punjab,Pakistan,"operating, operating","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CP-11,Siddiqsons power station,24.7836176,70.3670883,coal plant,coal,Sindh,Pakistan,permitted,330,2890800000,0.00037,1069.596,0.00019,549.252,0.0072,20813.76,0.0043,12430.44
CP-12,ThalNova power station,24.8154559,70.3883694,coal plant,lignite,Sindh,Pakistan,operating,330,2890800000,0.00037,1069.596,0.00019,549.252,0.0072,20813.76,0.0043,12430.44
CP-13,Thar Block I power station,24.7108029,70.3024933,coal plant,lignite,Sindh,Pakistan,"operating, operating","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CP-14,Thar Block II power station,24.8124812,70.394069,coal plant,lignite,Sindh,Pakistan,"operating, operating","330, 330",5781600000,0.00037,2139.192,0.00019,1098.504,0.0072,41627.52,0.0043,24860.88
CP-15,Thar Block VI power station,24.8408017,70.3150749,coal plant,lignite,Sindh,Pakistan,"pre-permit, pre-permit","700, 700",12264000000,0.00037,4537.68,0.00019,2330.16,0.0072,88300.8,0.0043,52735.2
CP-16,Thar Energy Limited power station,24.8062135,70.4005007,coal plant,lignite,Sindh,Pakistan,operating,330,2890800000,0.00037,1069.596,0.00019,549.252,0.0072,20813.76,0.0043,12430.44
CP-17,Master Power Plant,31.26878487,74.17973657,captive power plant,coal,Punjab,Pakistan,operating,0,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0
CP-18,Sheikhupura power station,31.6526,74.1808,captive power plant,coal,Punjab,Pakistan,construction,31.5,275940000,0.00037,102.0978,0.00019,52.4286,0.0072,1986.768,0.0043,1186.542
CP-19,Sapphire Power Plant,31.76241512,74.03534412,captive power plant,coal,Punjab,Pakistan,operating,225,1971000000,0.00037,729.27,0.00019,374.49,0.0072,14191.2,0.0043,8475.3
CP-20,Nestle Power Plant,31.6884929,74.07641003,captive power plant,coal,Punjab,Pakistan,operating,0,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0
CP-21,Bin Ajmal Rice Processing Mills,31.77556433,74.08766862,captive power plant,coal,Punjab,Pakistan,operating,0,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0
CP-22,Faisalabad Sitara Chemical power plant,31.52292,73.38822,captive power plant,coal,Punjab,Pakistan,operating,"40,40",700800000,0.00037,259.296,0.00019,133.152,0.0072,5045.76,0.0043,3013.44
CP-23,Maple Leaf power station,32.90467,71.61064,captive power plant,coal,Punjab,Pakistan,operating,40,350400000,0.00037,129.648,0.00019,66.576,0.0072,2522.88,0.0043,1506.72
