city,state,country,sub_region,latitude,longitude,status,plant_type,capacity
Karachi,Sindh,Pakistan,Southern Asia,24.909361,67.474854,Operating,Integrated,2.08
Attock,Punjab,Pakistan,Southern Asia,33.690512,72.713367,Operating,Integrated,3.43
Islamabad,Islamabad Capital Territory,Pakistan,Southern Asia,33.693119,72.859164,Operating,Integrated,0.9
Khushab,Punjab,Pakistan,Southern Asia,32.574803,72.565983,Operating,Integrated,0.6
Gharibwal Cement Factory Housing Colony,Punjab,Pakistan,Southern Asia,32.726458,73.142329,Operating,Integrated,2.45
Lakari,Khyber Pakhtunkhwa,Pakistan,Southern Asia,33.905264,71.91052,Operating,Integrated,4.5
Togh Bala,Khyber Pakhtunkhwa,Pakistan,Southern Asia,33.548053,71.549005,Operating,Integrated,2.95
Iskandarabad,Punjab,Pakistan,Southern Asia,32.907938,71.590321,Operating,Integrated,4.38
Karachi,Sindh,Pakistan,Southern Asia,25.053071,67.494014,Operating,Integrated,8
Jamshoro,Sindh,Pakistan,Southern Asia,25.15328,67.672503,Operating,Integrated,1.02
Hub,Balochistan,Pakistan,Southern Asia,25.139196,66.914996,Operating,Integrated,3
Khushab,Punjab,Pakistan,Southern Asia,32.387991,72.14237,Operating,Integrated,1.3
Jamshoro,Sindh,Pakistan,Southern Asia,25.154011,67.703129,Operating,Integrated,0.6
RCW Rohri,Sindh,Pakistan,Southern Asia,27.669985,68.891452,Operating,Integrated,1.8
Thatta,Sindh,Pakistan,Southern Asia,24.648057,67.843569,Operating,Integrated,0.675
Hyderabad,Sindh,Pakistan,Southern Asia,25.34692,68.396246,Operating,Integrated,0.576
Vilemar Kundi,Uttar Pradesh,India,Southern Asia,24.44605,83.075826,Operating,Integrated,1.59
Churk,Uttar Pradesh,India,Southern Asia,24.63924,83.101967,Operating,Integrated,0
Mirzapur,Uttar Pradesh,India,Southern Asia,25.087704,82.902584,Operating,Grinding,0
Prayagraj,Uttar Pradesh,India,Southern Asia,25.229553,81.781506,Operating,Grinding,0
Chenchur Gerya,West Bengal,India,Southern Asia,22.392435,87.015888,Operating,Grinding,0
Chherat,Uttar Pradesh,India,Southern Asia,27.960795,78.08159,Operating,Grinding,0
Bardhaman,West Bengal,India,Southern Asia,23.718837,86.954305,Operating,,0
