GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,NAME_3,TYPE_3,ENGTYPE_3
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.1_1,Barguna,Amtali,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.1_1,Barguna,Bamna,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.1_1,Barguna,Barguna Sadar,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.1_1,Barguna,Betagi,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.1_1,Barguna,Patharghata,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Agailjhara,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Babuganj,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Bakerganj,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Banari Para,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Barisal Sadar (Kotwali),Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Gaurnadi,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Hizla,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Mehendiganj,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Muladi,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.2_1,Barisal,Wazirpur,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.3_1,Bhola,Bhola Sadar,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.3_1,Bhola,Burhanuddin,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.3_1,Bhola,Char Fasson,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.3_1,Bhola,Daulatkhan,Upazilla,Upazilla
BGD,Bangladesh,BGD.1_1,Barisal,BGD.1.3_1,Bhola,Lalmohan,Upazilla,Upazilla
