name,coordinates,query,latitude,longitude
DRC BRICKS,"{""latitude"":-11.6298126,""longitude"":27.4161084}",brick in democratic republic of the congo,-11.6298126,27.4161084
Demokratische Republik Kongo,"{""latitude"":-4.038333,""longitude"":21.758664}",brick in democratic republic of the congo,-4.038333,21.758664
Kwilu Briques,"{""latitude"":-5.5067565,""longitude"":14.7090988}",brick in democratic republic of the congo,-5.5067565,14.7090988
Minoxidil DR Congo,"{""latitude"":-1.6871512,""longitude"":29.237940899999998}",brick in democratic republic of the congo,-1.6871512,29.2379409
