GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,TYPE_1,ENGTYPE_1,HASC_1
Z06.1_1,Z06,Pakistan,Azad Kashmir,Kashmir,Centrally Administered Area,Centrally Administered Area,PK.JK
PAK.2_1,PAK,Pakistan,Balochistan,Baluchistan|BéloutchistanBeluchi,Province,Province,PK.BA
PAK.3_1,PAK,Pakistan,Federally Administered Tribal Ar,F.A.T.A.,Territory,Territory,PK.TA
PAK.4_1,PAK,Pakistan,Islamabad,F.C.T.|Federal Capital Territory,Capital Territory,Capital Territory,PK.IS
PAK.5_1,PAK,Pakistan,Khyber-Pakhtunkhwa,N.W.F.P.|North-West Frontier Pro,Province,Province,PK.NW
PAK.7_1,PAK,Pakistan,Punjab,Pendjab|Penjab,Province,Province,PK.PB
PAK.8_1,PAK,Pakistan,Sindh,Sind,Province,Province,PK.SD
