id,name,lat,lon,type, fuel,region,country,status,capacity,emfpm10, pm10,emfpm25, pm25,emfso2, so2,emfnox, nox
PPB-1,Amber Super Paper Ltd,23.82534,90.4360182,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-2,Asia Paper and Board Mills Ltd,23.7312103,90.4088458,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-3,Bangladesh Paper Mills Ltd,23.7333464,90.4065196,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-4,BCIC Bangladesh Chemical Industries Corp.,23.7267506,90.4191763,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-5,"BPML Bashundhara Paper Mill Limited, Bashundhara Group Corporate Office",23.8118837,90.4283242,pulp and paper,,Dhaka,Bangladesh,Operating,,,,,,,,,
PPB-6,"Hashem Paper Mills Ltd, Zeysha Group",23.7245473,90.4213183,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-7,"Hussain Pulp, Paper and Board Mills Ltd",23.7657287,90.4054498,Paper and packaging,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-8,Khulna Newsprint Mills Ltd,22.8496682,89.5367413,Paper,,Khalispur,Bangladesh,Operating,N/A,,,,,,,,
PPB-9,"Lipy Paper Mills Ltd, Lipy Group",23.7327123,90.4125562,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-10,"Magura Paper Mills Ltd, BDG-Magura Group",23.7267506,90.4191763,Paper,,Dhaka,Bangladesh,Operating, ,,,,,,,,
PPB-11,NBPM North Bengal Paper Mills Ltd,24.0808134,89.0519747,Paper,,Paksey,Bangladesh,Operating,N/A,,,,,,,,
PPB-12,"Pearl Paper & Board Mills Ltd, Magura Group",23.804093,90.4152376,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-13,Pioneer Paper & Board Mills Ltd,23.7149563,90.4181331,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-14,Sadeque Paper & Board Mills Ltd,23.7235889,90.4231482,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-15,Sonali Paper and Board Mills Ltd,23.7263288,90.4158919,Paper and packaging,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPB-16,Web Coats Ltd,23.7212942,90.4209501,Paper,,Dhaka,Bangladesh,Operating,N/A,,,,,,,,
PPI-1,"Abhishek Industries Limited, Trident Group",30.9136225,75.8170786,Paper,,Ludhiana,India,Operating,N/A,,,,,,,,
PPI-2,Agarwal Pulp and Paper Mills Ltd,29.4610536,77.6861916,Paper,,Muzaffar Nagar,India,Operating,N/A,,,,,,,,
PPI-3,BAHL Paper Mills Ltd,28.6349338,77.1792825,Pulp and Paper,,DELHI,India,Operating, ,,,,,,,,
PPI-4,"BAHL Paper Mills Ltd, Kashipur Plant",29.15395383,78.92952222,Paper,,Kashipur,India,Operating,No information,,,,,,,,
PPI-5,Bharat Strawboard & Paper Mills (Private) Ltd,25.3920905,81.8671896,Paper,,Allahabad,India,Operating,N/A,,,,,,,,
PPI-6,"BILT Ballarpur Industries Ltd, Unit Shreegopal",30.1253913,77.2861791,Pulp and paper,,Yamunanagar,India,Operating,"67,000",,,,,,,,
PPI-7,BILT Ballarpur Industries Ltd,28.4795213,77.0834736,pulp and paper,,Gurgaon,India,Operating,,,,,,,,,
PPI-8,"Bindal Papers Limited, Muzaffarnagar Works",29.4713791,77.7524847,pulp and paper,,Muzaffar Nagar,India,Operating,,,,,,,,,
PPI-9,Chandpur Enterprises Ltd,29.1309316,78.3070162,Paper,,Bijnor,India,Operating,N/A,,,,,,,,
PPI-10,Cheema Papers Limited,27.5705886,80.0981869,Paper,,Naini Tal,India,Operating,N/A,,,,,,,,
PPI-11,Chemopulp Tissues Limited,28.7388465,77.2622616,Paper,,Ghaziabad,India,Operating,N/A,,,,,,,,
PPI-12,CPP Century Pulp & Paper,28.5395203,77.2892572,Paper,,Delhi,India,Operating,N/A,,,,,,,,
PPI-13,East India Paper & Board Mills,22.5493487,88.3575388,Paper and packaging,,Kolkata,India,Operating,N/A,,,,,,,,
PPI-14,Gateway Speciality Papers Limited,28.702227,77.173583,Paper,,Delhi,India,Operating,N/A,,,,,,,,
PPI-15,"Gateway Speciality Papers Limited, Kundli Mill",28.8072614,77.1404211,Paper,,Kundli,India,Operating,N/A,,,,,,,,
PPI-16,"Incite Homecare Products (P) Limited, Regional Office Noida",28.5803863,77.2442689,pulp and paper,,Noida,India,Operating,,,,,,,,,
PPI-17,"ITC Limited, Registered Office",22.5512458,88.3491845,pulp and paper,,Kolkata,India,Operating,,,,,,,,,
PPI-18,"Krishna Tissues Private Limited, Corporate Office",22.5902717,88.4041641,pulp and paper,,Kolkata,India,Operating,,,,,,,,,
PPI-19,"Kuantum Papers Ltd, Corporate Office",30.7375403,76.7934951,pulp and paper,,Chandigarh,India,Operating,,,,,,,,,
PPI-20,Hanuman Chromocoates Limited,22.5712655,88.3458665,Paper,,Kolkata,India,Operating,N/A,,,,,,,,
PPI-21,"ITC Limited, PSPC Manufacturing Tribeni Unit",23.0485138,88.2826103,Packaging,,Chandigarh,India,Operating,N/A,,,,,,,,
PPI-22,Khanna Paper Mills,30.3436212,76.8710151,Paper,,Ambala Cantt,India,Operating,N/A,,,,,,,,
PPI-23,"Krishna Tissues Private Limited, Burdwan Mill",23.3675867,87.8981188,Paper,,Burdwan,India,Operating,N/A,,,,,,,,
PPI-24,"Krishna Tissues Private Limited, Howrah Mill",22.4737841,88.018735,Paper and packaging,,Howrah,India,Operating,N/A,,,,,,,,
PPI-25,Mukerian Papers Ltd,30.8754888,75.8888152,Paper,,Ludhiana,India,Operating,N/A,,,,,,,,
PPI-26,"Mukerian Papers Ltd, Mukerian Mill",31.9280757,75.6288101,Paper,,Mukerian,India,Operating,N/A,,,,,,,,
PPI-27,Nikita Papers Limited,28.7467243,77.1517559,Paper,,Shamli,India,Operating,N/A,,,,,,,,
PPI-28,Orient Paper & Industries Ltd,22.570999,88.3516711,Paper,,Kolkata,India,Operating,N/A,,,,,,,,
PPI-29,Pamwi Tissues (Lessee Swil Ltd),30.7299223,76.8006191,Paper,,Chandigarh,India,Operating,N/A,,,,,,,,
PPI-30,Rishab Paper Mills Ltd,30.7283801,76.7706729,Paper,,Chandigarh,India,Operating,N/A,,,,,,,,
PPI-31,"Rishab Paper Mills Ltd, Banah Mill",31.0165902,76.3868797,Paper,,Banah,India,Operating,N/A,,,,,,,,
PPI-32,Rohtas Industries Ltd,28.632378,77.2409994,Paper,,Delhi,India,Operating,N/A,,,,,,,,
PPI-33,RP Paper Impex Pvt. Ltd,30.5855185,76.8749787,Paper,,Sahibzada Ajit Singh Nagar,India,Operating,N/A,,,,,,,,
PPI-34,RPML Rama Paper Mills Limited,29.5022083,78.2049759,Paper and packaging,,Kiratpur,India,Operating,N/A,,,,,,,,
PPI-35,Sakar International Pvt Ltd,28.5623371,77.2132621,Paper,,Delhi,India,Operating,N/A,,,,,,,,
PPI-36,"Sakar International Pvt Ltd, New Delhi Factory",28.795019,77.044496,Paper,,Delhi,India,Operating,N/A,,,,,,,,
PPI-37,Sangal Paper Ltd,29.1058152,77.9195156,Paper,,Mawana,India,Operating,N/A,,,,,,,,
PPI-38,Shamli Paper Mills Ltd,29.5218285,77.712598,Paper,,Shamli,India,Operating,N/A,,,,,,,,
